Localidades;Períodos;População ;População Masculina ;População Feminina ;Razão de Sexos ;População Urbana ;População Rural ;Grau de Urbanização (Em %);Cód. IBGE
Adamantina;2021;33869;16310;17559;92.89;32684;1185;96.5;3500105
Adolfo;2021;3436;1699;1737;97.81;3184;252;92.67;3500204
Aguaí;2021;35885;18021;17864;100.88;33151;2734;92.38;3500303
Águas da Prata;2021;7807;3834;3973;96.5;7215;592;92.42;3500402
Águas de Lindóia;2021;18438;8972;9466;94.78;18272;166;99.1;3500501
Águas de Santa Bárbara;2021;5957;2912;3045;95.63;4642;1315;77.93;3500550
Águas de São Pedro;2021;3144;1479;1665;88.83;3144;;100;3500600
Agudos;2021;36255;17869;18386;97.19;34955;1300;96.41;3500709
Alambari;2021;5856;2921;2935;99.52;4826;1030;82.41;3500758
Alfredo Marcondes;2021;3924;1999;1925;103.84;3571;353;91;3500808
Altair;2021;4052;2148;1904;112.82;3445;607;85.02;3500907
Altinópolis;2021;15547;7727;7820;98.81;14321;1226;92.11;3501004
Alto Alegre;2021;4006;2045;1961;104.28;3423;583;85.45;3501103
Alumínio;2021;18069;9067;9002;100.72;15155;2914;83.87;3501152
Álvares Florence;2021;3596;1818;1778;102.25;2663;933;74.05;3501202
Álvares Machado;2021;23828;11696;12132;96.41;21782;2046;91.41;3501301
Álvaro de Carvalho;2021;5079;3159;1920;164.53;3443;1636;67.79;3501400
Alvinlândia;2021;3190;1573;1617;97.28;2947;243;92.38;3501509
Americana;2021;235075;114935;120140;95.67;233977;1098;99.53;3501608
Américo Brasiliense;2021;40676;20312;20364;99.74;40368;308;99.24;3501707
Américo de Campos;2021;5730;2861;2869;99.72;5036;694;87.89;3501806
Amparo;2021;69861;34288;35573;96.39;59136;10725;84.65;3501905
Analândia;2021;4895;2497;2398;104.13;4122;773;84.21;3502002
Andradina;2021;56087;27456;28631;95.9;52935;3152;94.38;3502101
Angatuba;2021;24697;12392;12305;100.71;18550;6147;75.11;3502200
Anhembi;2021;6755;3437;3318;103.59;5342;1413;79.08;3502309
Anhumas;2021;3983;1981;2002;98.95;3513;470;88.2;3502408
Aparecida;2021;35744;17199;18545;92.74;35224;520;98.55;3502507
Aparecida d'Oeste;2021;4105;1987;2118;93.81;3581;524;87.24;3502606
Apiaí;2021;24711;12318;12393;99.39;20214;4497;81.8;3502705
Aramina;2021;5515;2749;2766;99.39;5320;195;96.46;3503000
Arandu;2021;6168;3099;3069;100.98;5127;1041;83.12;3503109
Arapeí;2021;2469;1232;1237;99.6;1924;545;77.93;3503158
Araraquara;2021;228792;110380;118412;93.22;222288;6504;97.16;3503208
Araras;2021;131931;64773;67158;96.45;125675;6256;95.26;3503307
Araçariguama;2021;21289;10761;10528;102.21;21289;;100;3502754
Araçatuba;2021;190921;91563;99358;92.15;187239;3682;98.07;3502804
Araçoiaba da Serra;2021;32846;16228;16618;97.65;22577;10269;68.74;3502903
ArcoÍris;2021;1806;900;906;99.34;1171;635;64.84;3503356
Arealva;2021;8223;4130;4093;100.9;6934;1289;84.32;3503406
Areias;2021;3860;1909;1951;97.85;2588;1272;67.05;3503505
Areiópolis;2021;10900;5577;5323;104.77;10134;766;92.97;3503604
Ariranha;2021;9378;4740;4638;102.2;8881;497;94.7;3503703
Artur Nogueira;2021;53224;26412;26812;98.51;48189;5035;90.54;3503802
Arujá;2021;90958;44839;46119;97.22;87623;3335;96.33;3503901
Aspásia;2021;1760;879;881;99.77;1327;433;75.4;3503950
Assis;2021;101825;49587;52238;94.93;97380;4445;95.63;3504008
Atibaia;2021;140589;68910;71679;96.14;131968;8621;93.87;3504107
Auriflama;2021;14478;7180;7298;98.38;13550;928;93.59;3504206
Avaí;2021;5314;2654;2660;99.77;3568;1746;67.14;3504305
Avanhandava;2021;12188;6673;5515;121;10305;1883;84.55;3504404
Avaré;2021;87854;43484;44370;98;84875;2979;96.61;3504503
Bady Bassitt;2021;16441;8164;8277;98.63;15440;1001;93.91;3504602
Balbinos;2021;3707;2980;727;409.9;1193;2514;32.18;3504701
Bálsamo;2021;8542;4157;4385;94.8;7971;571;93.32;3504800
Bananal;2021;10691;5270;5421;97.21;9071;1620;84.85;3504909
Barão de Antonina;2021;3407;1721;1686;102.08;2180;1227;63.99;3505005
Barbosa;2021;7345;3681;3664;100.46;6290;1055;85.64;3505104
