"Localidades";"Períodos";"Taxa de Mortalidade Infantil (Por mil nascidos vivos)";"Taxa de Mortalidade Neonatal Precoce (Por mil nascidos vivos)";"Taxa de Mortalidade Neonatal (Por mil nascidos vivos)";"Taxa de Mortalidade Pós Neonatal (Por mil nascidos vivos)";"Taxa de Mortalidade Neonatal Tardia (Por mil nascidos vivos)";"Cód. IBGE"
"Adamantina";"2018";"5,26";"5,26";"5,26";"-";"-";3500105
"Adolfo";"2018";"21,74";"-";"-";"21,74";"-";3500204
"Aguaí";"2018";"6,58";"4,39";"6,58";"-";"2,19";3500303
"Águas da Prata";"2018";"21,98";"21,98";"21,98";"-";"-";3500402
"Águas de Lindóia";"2018";"5,21";"5,21";"5,21";"-";"-";3500501
"Águas de Santa Bárbara";"2018";"18,18";"18,18";"18,18";"-";"-";3500550
"Águas de São Pedro";"2018";"-";"-";"-";"-";"-";3500600
"Agudos";"2018";"16,98";"3,77";"7,55";"9,43";"3,77";3500709
"Alambari";"2018";"44,12";"14,71";"44,12";"-";"29,41";3500758
"Alfredo Marcondes";"2018";"16,95";"16,95";"16,95";"-";"-";3500808
"Altair";"2018";"-";"-";"-";"-";"-";3500907
"Altinópolis";"2018";"16,22";"10,81";"16,22";"-";"5,41";3501004
"Alto Alegre";"2018";"58,82";"29,41";"29,41";"29,41";"-";3501103
"Alumínio";"2018";"14,56";"4,85";"14,56";"-";"9,71";3501152
"Álvares Florence";"2018";"-";"-";"-";"-";"-";3501202
"Álvares Machado";"2018";"-";"-";"-";"-";"-";3501301
"Álvaro de Carvalho";"2018";"-";"-";"-";"-";"-";3501400
"Alvinlândia";"2018";"19,23";"19,23";"19,23";"-";"-";3501509
"Americana";"2018";"10,72";"6,65";"8,13";"2,59";"1,48";3501608
"Américo Brasiliense";"2018";"13,39";"6,7";"11,16";"2,23";"4,46";3501707
"Américo de Campos";"2018";"31,25";"-";"15,63";"15,63";"15,63";3501806
"Amparo";"2018";"6,03";"3,62";"4,83";"1,21";"1,21";3501905
"Analândia";"2018";"22,22";"-";"-";"22,22";"-";3502002
"Andradina";"2018";"11,02";"6,89";"8,26";"2,75";"1,38";3502101
"Angatuba";"2018";"11,83";"8,88";"8,88";"2,96";"-";3502200
"Anhembi";"2018";"-";"-";"-";"-";"-";3502309
"Anhumas";"2018";"17,86";"17,86";"17,86";"-";"-";3502408
"Aparecida";"2018";"4,6";"2,3";"4,6";"-";"2,3";3502507
"Aparecida d'Oeste";"2018";"-";"-";"-";"-";"-";3502606
"Apiaí";"2018";"11,36";"5,68";"8,52";"2,84";"2,84";3502705
"Aramina";"2018";"15,63";"-";"-";"15,63";"-";3503000
"Arandu";"2018";"11,36";"-";"-";"11,36";"-";3503109
"Arapeí";"2018";"52,63";"-";"52,63";"-";"52,63";3503158
"Araraquara";"2018";"12,45";"7,82";"10,31";"2,13";"2,49";3503208
"Araras";"2018";"13,4";"5,74";"9,57";"3,83";"3,83";3503307
"Araçariguama";"2018";"10,58";"5,29";"7,94";"2,65";"2,65";3502754
"Araçatuba";"2018";"15,49";"8,79";"10,47";"5,03";"1,68";3502804
"Araçoiaba da Serra";"2018";"8,13";"5,42";"8,13";"-";"2,71";3502903
"Arco-Íris";"2018";"45,45";"-";"45,45";"-";"45,45";3503356
"Arealva";"2018";"14,49";"-";"-";"14,49";"-";3503406
"Areias";"2018";"-";"-";"-";"-";"-";3503505
"Areiópolis";"2018";"19,87";"-";"13,25";"6,62";"13,25";3503604
"Ariranha";"2018";"-";"-";"-";"-";"-";3503703
"Artur Nogueira";"2018";"7,32";"2,93";"4,39";"2,93";"1,46";3503802
"Arujá";"2018";"14,65";"8,06";"10,99";"3,66";"2,93";3503901
"Aspásia";"2018";"-";"-";"-";"-";"-";3503950
"Assis";"2018";"15,81";"9,98";"11,65";"4,16";"1,66";3504008
"Atibaia";"2018";"4,22";"2,35";"2,35";"1,88";"-";3504107
"Auriflama";"2018";"7,04";"7,04";"7,04";"-";"-";3504206
"Avaí";"2018";"-";"-";"-";"-";"-";3504305
"Avanhandava";"2018";"20,27";"6,76";"13,51";"6,76";"6,76";3504404
"Avaré";"2018";"11,24";"8,24";"8,99";"2,25";"0,75";3504503
"Bady Bassitt";"2018";"7,43";"-";"3,72";"3,72";"3,72";3504602
"Balbinos";"2018";"-";"-";"-";"-";"-";3504701
"Bálsamo";"2018";"-";"-";"-";"-";"-";3504800
"Bananal";"2018";"-";"-";"-";"-";"-";3504909
"Barão de Antonina";"2018";"-";"-";"-";"-";"-";3505005
"Barbosa";"2018";"10,2";"-";"-";"10,2";"-";3505104
"Bariri";"2018";"14,49";"4,83";"12,08";"2,42";"7,25";3505203
"Barra Bonita";"2018";"14,33";"8,6";"8,6";"5,73";"-";3505302
"Barra do Chapéu";"2018";"-";"-";"-";"-";"-";3505351
"Barra do Turvo";"2018";"37,04";"24,69";"24,69";"12,35";"-";3505401
"Barretos";"2018";"13,79";"9,85";"13,13";"0,66";"3,28";3505500
"Barrinha";"2018";"16,13";"6,05";"10,08";"6,05";"4,03";3505609
"Barueri";"2018";"8,26";"3,16";"5,27";"2,99";"2,11";3505708
"Bastos";"2018";"16,95";"10,17";"13,56";"3,39";"3,39";3505807
"Batatais";"2018";"9,41";"6,72";"8,06";"1,34";"1,34";3505906
"Bauru";"2018";"8,53";"3,41";"4,69";"3,84";"1,28";3506003
"Bebedouro";"2018";"18,2";"11,78";"14,99";"3,21";"3,21";3506102
"Bento de Abreu";"2018";"-";"-";"-";"-";"-";3506201
"Bernardino de Campos";"2018";"7,3";"-";"7,3";"-";"7,3";3506300
"Bertioga";"2018";"13,42";"5,75";"9,59";"3,84";"3,84";3506359
"Bilac";"2018";"-";"-";"-";"-";"-";3506409
"Birigui";"2018";"12,66";"6";"9,99";"2,66";"4";3506508
"Biritiba Mirim";"2018";"10,15";"-";"5,08";"5,08";"5,08";3506607
"Boa Esperança do Sul";"2018";"12,2";"6,1";"6,1";"6,1";"-";3506706
"Bocaina";"2018";"25,64";"19,23";"19,23";"6,41";"-";3506805
"Bofete";"2018";"13,79";"6,9";"13,79";"-";"6,9";3506904
"Boituva";"2018";"8,3";"7,12";"8,3";"-";"1,19";3507001
"Bom Jesus dos Perdões";"2018";"3,02";"3,02";"3,02";"-";"-";3507100
"Bom Sucesso de Itararé";"2018";"18,52";"-";"18,52";"-";"18,52";3507159
"Borá";"2018";"-";"-";"-";"-";"-";3507209
"Boracéia";"2018";"52,63";"35,09";"35,09";"17,54";"-";3507308
"Borborema";"2018";"20,27";"6,76";"6,76";"13,51";"-";3507407
"Borebi";"2018";"-";"-";"-";"-";"-";3507456
"Botucatu";"2018";"15,83";"6,55";"12,01";"3,82";"5,46";3507506
"Bragança Paulista";"2018";"7,6";"3,13";"4,02";"3,57";"0,89";3507605
"Braúna";"2018";"-";"-";"-";"-";"-";3507704
"Brejo Alegre";"2018";"-";"-";"-";"-";"-";3507753
"Brodowski";"2018";"21,54";"3,08";"9,23";"12,31";"6,15";3507803
"Brotas";"2018";"8,93";"5,95";"5,95";"2,98";"-";3507902
"Buri";"2018";"9,35";"3,12";"3,12";"6,23";"-";3508009
"Buritama";"2018";"14,93";"4,98";"4,98";"9,95";"-";3508108
"Buritizal";"2018";"-";"-";"-";"-";"-";3508207
"Cabrália Paulista";"2018";"19,23";"-";"-";"19,23";"-";3508306
"Cabreúva";"2018";"10,8";"8,1";"8,1";"2,7";"-";3508405
"Cachoeira Paulista";"2018";"9,13";"4,57";"6,85";"2,28";"2,28";3508603
"Caconde";"2018";"9,13";"4,57";"4,57";"4,57";"-";3508702
"Cafelândia";"2018";"17,39";"13,04";"13,04";"4,35";"-";3508801
"Caiabu";"2018";"25";"25";"25";"-";"-";3508900
"Caieiras";"2018";"6,63";"4,42";"5,15";"1,47";"0,74";3509007
"Caiuá";"2018";"20,41";"-";"-";"20,41";"-";3509106
"Cajamar";"2018";"5,24";"4,49";"4,49";"0,75";"-";3509205
"Cajati";"2018";"4,21";"-";"2,11";"2,11";"2,11";3509254
"Cajobi";"2018";"-";"-";"-";"-";"-";3509304
"Cajuru";"2018";"8,85";"5,9";"5,9";"2,95";"-";3509403
"Campina do Monte Alegre";"2018";"21,51";"10,75";"10,75";"10,75";"-";3509452
"Campinas";"2018";"9,12";"4,49";"6,28";"2,84";"1,78";3509502
"Campo Limpo Paulista";"2018";"4,98";"2,99";"3,98";"1";"1";3509601
"Campos do Jordão";"2018";"9,26";"3,97";"3,97";"5,29";"-";3509700
"Campos Novos Paulista";"2018";"-";"-";"-";"-";"-";3509809
"Cananéia";"2018";"5,38";"5,38";"5,38";"-";"-";3509908
"Canas";"2018";"-";"-";"-";"-";"-";3509957
"Cândido Mota";"2018";"14,66";"5,87";"8,8";"5,87";"2,93";3510005
"Cândido Rodrigues";"2018";"-";"-";"-";"-";"-";3510104
"Canitar";"2018";"-";"-";"-";"-";"-";3510153
"Capão Bonito";"2018";"12,27";"12,27";"12,27";"-";"-";3510203
"Capela do Alto";"2018";"18,75";"6,25";"12,5";"6,25";"6,25";3510302
"Capivari";"2018";"7,31";"2,92";"7,31";"-";"4,39";3510401
"Caraguatatuba";"2018";"10,34";"2,72";"6,53";"3,81";"3,81";3510500
"Carapicuíba";"2018";"9,39";"4,77";"7,36";"2,02";"2,6";3510609
"Cardoso";"2018";"25,86";"-";"17,24";"8,62";"17,24";3510708
"Casa Branca";"2018";"12,66";"9,49";"9,49";"3,16";"-";3510807
"Cássia dos Coqueiros";"2018";"-";"-";"-";"-";"-";3510906
"Castilho";"2018";"25,86";"12,93";"17,24";"8,62";"4,31";3511003
"Catanduva";"2018";"8,19";"2,23";"4,47";"3,72";"2,23";3511102
"Catiguá";"2018";"-";"-";"-";"-";"-";3511201
"Caçapava";"2018";"9,13";"6,09";"7,61";"1,52";"1,52";3508504
"Cedral";"2018";"-";"-";"-";"-";"-";3511300
"Cerqueira César";"2018";"14,87";"3,72";"7,43";"7,43";"3,72";3511409
"Cerquilho";"2018";"9,65";"7,72";"7,72";"1,93";"-";3511508
"Cesário Lange";"2018";"7,6";"3,8";"7,6";"-";"3,8";3511607
"Charqueada";"2018";"4,37";"-";"-";"4,37";"-";3511706
"Chavantes";"2018";"-";"-";"-";"-";"-";3557204
"Clementina";"2018";"26,32";"17,54";"26,32";"-";"8,77";3511904
