Localidades;Períodos;Óbitos Gerais (por local de residência) ;Taxa de Mortalidade Geral (por local de residência) (Por mil habitantes);Óbitos da População de 15 a 34 Anos ;Taxa de Mortalidade da População de 15 a 34 Anos (Por cem mil habitantes nessa faixa etária);Óbitos da População de 60 Anos e Mais ;Taxa de Mortalidade da População de 60 Anos e Mais (Por cem mil habitantes nessa faixa etária);Cód. IBGE
Adamantina;2019;345;10.18;9;94.97;279;3857.85;3500105
Adolfo;2019;29;8.39;2;202.84;25;3401.36;3500204
Aguaí;2019;270;7.66;12;104.28;193;3812.72;3500303
Águas da Prata;2019;72;9.26;3;132.8;58;3438.06;3500402
Águas de Lindóia;2019;174;9.52;3;57.31;147;4598.06;3500501
Águas de Santa Bárbara;2019;53;8.98;1;57.18;42;3914.26;3500550
Águas de São Pedro;2019;47;15.25;;;43;5650.46;3500600
Agudos;2019;271;7.53;15;131.66;202;3782.77;3500709
Alambari;2019;42;7.38;3;148.59;33;4130.16;3500758
Alfredo Marcondes;2019;34;8.66;1;88.5;25;2802.69;3500808
Altair;2019;29;7.22;2;156.49;24;4469.27;3500907
Altinópolis;2019;103;6.62;1;21.32;81;2789.26;3501004
Alto Alegre;2019;40;9.93;1;89.53;29;3052.63;3501103
Alumínio;2019;106;5.94;10;174.22;66;3072.63;3501152
Álvares Florence;2019;29;7.95;1;108.58;22;2265.71;3501202
Álvares Machado;2019;186;7.83;6;80.99;139;3354.25;3501301
Álvaro de Carvalho;2019;27;5.4;;;19;3339.19;3501400
Alvinlândia;2019;16;5.06;;;12;2439.02;3501509
Americana;2019;1492;6.45;46;66.62;1130;2925.57;3501608
Américo Brasiliense;2019;183;4.61;13;96.94;123;2889.36;3501707
Américo de Campos;2019;66;11.51;2;120.85;56;4549.15;3501806
Amparo;2019;559;8.07;20;96.81;423;3428.99;3501905
Analândia;2019;28;5.84;1;64.14;20;2541.3;3502002
Andradina;2019;522;9.32;13;80.95;411;3914.29;3502101
Angatuba;2019;155;6.39;7;89.38;116;3185.94;3502200
Anhembi;2019;50;7.61;1;45.35;35;3727.37;3502309
Anhumas;2019;30;7.61;1;78.43;27;4084.72;3502408
Aparecida;2019;315;8.84;11;102.49;223;3828.98;3502507
Aparecida d'Oeste;2019;62;14.9;1;87.8;54;5487.8;3502606
Apiaí;2019;186;7.54;6;73.86;137;3821.48;3502705
Aramina;2019;50;9.15;4;237.81;33;3473.68;3503000
Arandu;2019;53;8.61;1;50.03;33;3303.3;3503109
Arapeí;2019;19;7.69;1;130.55;14;3325.42;3503158
Araraquara;2019;1761;7.79;68;99.51;1380;3548.93;3503208
Araras;2019;940;7.24;31;76.22;711;3424.36;3503307
Araçariguama;2019;105;5.1;7;97.05;62;2983.64;3502754
Araçatuba;2019;1609;8.48;62;114.66;1191;3488.27;3502804
Araçoiaba da Serra;2019;257;8.06;7;68.08;192;3900.85;3502903
ArcoÍris;2019;15;8.22;1;196.85;9;2244.39;3503356
Arealva;2019;86;10.54;2;83.13;74;4265.13;3503406
Areias;2019;36;9.41;;;31;5709.02;3503505
Areiópolis;2019;85;7.85;9;246.17;53;4229.85;3503604
Ariranha;2019;75;8.11;3;102.46;57;3974.9;3503703
Artur Nogueira;2019;317;6.11;21;119.29;222;3422.76;3503802
Arujá;2019;508;5.76;29;97.22;344;3366.28;3503901
Aspásia;2019;12;6.78;;;7;1785.71;3503950
Assis;2019;794;7.88;17;55.32;626;3552.38;3504008
Atibaia;2019;1123;8.12;48;112.27;877;4133.28;3504107
Auriflama;2019;120;8.3;3;70.21;99;3596.08;3504206
Avaí;2019;47;8.94;1;56.95;34;4121.21;3504305
Avanhandava;2019;87;7.23;7;155.87;59;3970.39;3504404
Avaré;2019;708;8.13;31;113.95;520;3724.39;3504503
Bady Bassitt;2019;113;6.98;8;158.38;78;3168.16;3504602
Balbinos;2019;20;5.4;1;46.66;13;4362.42;3504701
Bálsamo;2019;83;9.77;3;127.06;70;4181.6;3504800
Bananal;2019;69;6.51;1;31.57;56;3033.59;3504909
Barão de Antonina;2019;27;8.05;1;93.63;20;3246.75;3505005
Barbosa;2019;59;8.18;1;41.93;42;3853.21;3505104
Bariri;2019;287;8.5;7;66.18;219;3711.24;3505203
Barra Bonita;2019;293;8.39;9;92.47;215;3358.85;3505302
Barra do Chapéu;2019;31;5.64;1;54.79;18;2310.65;3505351
Barra do Turvo;2019;52;6.77;6;241.06;38;3030.3;3505401
Barretos;2019;1019;8.67;35;97.85;782;3975.6;3505500
Barrinha;2019;178;5.57;14;127.62;110;3463.48;3505609
Barueri;2019;2000;7.63;115;139.66;1287;4610.59;3505708
Bastos;2019;157;7.74;5;83.35;118;3441.24;3505807
Batatais;2019;458;7.65;12;64.71;360;3451.91;3505906
Bauru;2019;2788;7.69;118;107.65;2085;3454.96;3506003
Bebedouro;2019;604;8.13;32;145.38;449;3348.25;3506102
Bento de Abreu;2019;20;6.85;;;13;2961.28;3506201
Bernardino de Campos;2019;90;8.35;5;157.18;76;3578.15;3506300
Bertioga;2019;325;5.27;29;137.09;214;3555.41;3506359
Bilac;2019;66;8.52;5;210.26;53;3585.93;3506409
Birigui;2019;850;7.08;30;81.94;635;3303.33;3506508
Biritiba Mirim;2019;187;5.85;5;46.07;145;3402.16;3506607
Boa Esperança do Sul;2019;117;8.08;5;105.55;74;3767.82;3506706
Bocaina;2019;93;7.74;5;128.8;70;3966.01;3506805
Bofete;2019;66;6.04;1;27.81;49;2585.75;3506904
Boituva;2019;344;6.09;16;85.18;238;3339.41;3507001
Bom Jesus dos Perdões;2019;142;5.96;3;36.79;101;3454.17;3507100
Bom Sucesso de Itararé;2019;25;6.53;;;17;4358.97;3507159
Borá;2019;9;11.1;;;8;6504.07;3507209
Boracéia;2019;32;6.79;;;22;3068.34;3507308
Borborema;2019;145;9.51;8;173.35;117;4304.64;3507407
Borebi;2019;14;5.49;1;114.16;12;3488.37;3507456
Botucatu;2019;1059;7.57;34;78.18;818;3594.66;3507506
Bragança Paulista;2019;1254;7.72;46;89.59;936;3734.74;3507605
Braúna;2019;37;6.73;;;30;3006.01;3507704
Brejo Alegre;2019;26;9.46;2;227.79;17;3820.22;3507753
Brodowski;2019;179;7.56;3;37.74;137;3821.48;3507803
Brotas;2019;160;6.77;5;66.16;121;3342.54;3507902
Buri;2019;136;6.96;2;31.37;95;3830.65;3508009
Buritama;2019;155;9.4;6;121.24;122;4267.23;3508108
Buritizal;2019;27;6.31;2;160.38;22;2756.89;3508207
Cabrália Paulista;2019;25;5.8;;;17;2522.26;3508306
Cabreúva;2019;269;5.53;13;76.5;183;3588.94;3508405
Cachoeira Paulista;2019;247;7.71;15;152.44;173;3324.37;3508603
Caconde;2019;145;7.7;3;50.38;113;3347.16;3508702
Cafelândia;2019;158;9.2;7;136.29;117;3855.02;3508801
Caiabu;2019;37;9.02;2;161.94;29;3841.06;3508900
Caieiras;2019;540;5.44;26;77.98;368;3224.96;3509007
Caiuá;2019;39;7.04;2;107.99;27;2854.12;3509106
