"Localidades";"Períodos";"PIB (Em mil reais correntes)";"PIB per Capita (Em reais correntes)";"Participação no PIB do Estado (Em %)";"Cód. IBGE"
"Adamantina";"2018";"1084405,13";"31999,68";"0,049056";3500105
"Adolfo";"2018";"92373,72";"26628,34";"0,004179";3500204
"Aguaí";"2018";"1008187,31";"28872,17";"0,045608";3500303
"Águas da Prata";"2018";"168304,73";"21694,34";"0,007614";3500402
"Águas de Lindóia";"2018";"491522,07";"27061,72";"0,022235";3500501
"Águas de Santa Bárbara";"2018";"166830,49";"28445,1";"0,007547";3500550
"Águas de São Pedro";"2018";"135946,64";"44675,2";"0,00615";3500600
"Agudos";"2018";"2203350,25";"61498";"0,099674";3500709
"Alambari";"2018";"100497,29";"17945,95";"0,004546";3500758
"Alfredo Marcondes";"2018";"83372,76";"21252,3";"0,003772";3500808
"Altair";"2018";"106832,8";"26748,32";"0,004833";3500907
"Altinópolis";"2018";"497723,2";"31993,52";"0,022516";3501004
"Alto Alegre";"2018";"107711,98";"26681,19";"0,004873";3501103
"Alumínio";"2018";"2105104,51";"118617,49";"0,095229";3501152
"Álvares Florence";"2018";"119696,03";"32588,08";"0,005415";3501202
"Álvares Machado";"2018";"530717,81";"22379,94";"0,024008";3501301
"Álvaro de Carvalho";"2018";"49886,48";"10053,7";"0,002257";3501400
"Alvinlândia";"2018";"51906,34";"16520,16";"0,002348";3501509
"Americana";"2018";"11332408,17";"49425,42";"0,512648";3501608
"Américo Brasiliense";"2018";"959435,49";"24524,82";"0,043402";3501707
"Américo de Campos";"2018";"117732,46";"20532,34";"0,005326";3501806
"Amparo";"2018";"4646509,88";"67394,44";"0,210196";3501905
"Analândia";"2018";"183993,63";"38768,15";"0,008323";3502002
"Andradina";"2018";"1922486,33";"34365,09";"0,086968";3502101
"Angatuba";"2018";"1008411,94";"41950,74";"0,045618";3502200
"Anhembi";"2018";"179886,18";"27816,02";"0,008138";3502309
"Anhumas";"2018";"74825,19";"19092,93";"0,003385";3502408
"Aparecida";"2018";"1082773,38";"30440,63";"0,048982";3502507
"Aparecida d'Oeste";"2018";"128569,45";"30670,19";"0,005816";3502606
"Apiaí";"2018";"594687,48";"24094,95";"0,026902";3502705
"Aramina";"2018";"126608,22";"23303,56";"0,005727";3503000
"Arandu";"2018";"117579,44";"19106,18";"0,005319";3503109
"Arapeí";"2018";"30703,81";"12425,66";"0,001389";3503158
"Araraquara";"2018";"9409114,42";"41932,16";"0,425644";3503208
"Araras";"2018";"5565138,22";"43249,23";"0,251752";3503307
"Araçariguama";"2018";"3270859";"161739,55";"0,147965";3502754
"Araçatuba";"2018";"7349421,34";"38909,71";"0,332468";3502804
"Araçoiaba da Serra";"2018";"861981,61";"27475,27";"0,038994";3502903
"Arco-Íris";"2018";"53015,13";"28938,39";"0,002398";3503356
"Arealva";"2018";"230787,87";"28397,67";"0,01044";3503406
"Areias";"2018";"43127,62";"11328,5";"0,001951";3503505
"Areiópolis";"2018";"143002,1";"13255,66";"0,006469";3503604
"Ariranha";"2018";"728583,05";"79444,23";"0,032959";3503703
"Artur Nogueira";"2018";"1184269,48";"23179,16";"0,053573";3503802
"Arujá";"2018";"6155414,34";"70959,06";"0,278455";3503901
"Aspásia";"2018";"35205,3";"19845,15";"0,001593";3503950
"Assis";"2018";"3363335,67";"33571,58";"0,152148";3504008
"Atibaia";"2018";"7140404,27";"52079,06";"0,323013";3504107
"Auriflama";"2018";"304810,51";"21124,85";"0,013789";3504206
"Avaí";"2018";"271908,05";"52059,75";"0,0123";3504305
"Avanhandava";"2018";"319465,29";"26735,73";"0,014452";3504404
"Avaré";"2018";"2737160,76";"31581,77";"0,123822";3504503
"Bady Bassitt";"2018";"353420,96";"22037,85";"0,015988";3504602
"Balbinos";"2018";"57562,79";"15561,72";"0,002604";3504701
"Bálsamo";"2018";"203039,72";"23999,97";"0,009185";3504800
"Bananal";"2018";"184553,75";"17476,68";"0,008349";3504909
"Barão de Antonina";"2018";"53275,61";"16008,3";"0,00241";3505005
"Barbosa";"2018";"94911,1";"13289,15";"0,004294";3505104
"Bariri";"2018";"1160199,26";"34591,51";"0,052484";3505203
"Barra Bonita";"2018";"1282531,67";"36674,15";"0,058018";3505302
"Barra do Chapéu";"2018";"81216,32";"14847,59";"0,003674";3505351
"Barra do Turvo";"2018";"91019,79";"11857,71";"0,004117";3505401
"Barretos";"2018";"4859369,08";"41542,66";"0,219825";3505500
"Barrinha";"2018";"517656,13";"16395,01";"0,023417";3505609
"Barueri";"2018";"50566643,99";"194642,06";"2,287502";3505708
"Bastos";"2018";"959525,15";"47304,53";"0,043406";3505807
"Batatais";"2018";"1590068,48";"26716,21";"0,071931";3505906
"Bauru";"2018";"14642060,76";"40618,46";"0,662368";3506003
"Bebedouro";"2018";"3344551,37";"44969,97";"0,151299";3506102
"Bento de Abreu";"2018";"167547,35";"57934,77";"0,007579";3506201
"Bernardino de Campos";"2018";"220258,53";"20432,15";"0,009964";3506300
"Bertioga";"2018";"1690596,24";"28120,36";"0,076478";3506359
"Bilac";"2018";"193041,29";"25148,68";"0,008733";3506409
"Birigui";"2018";"3336569,6";"28047,83";"0,150938";3506508
"Biritiba Mirim";"2018";"687602,59";"21779,56";"0,031105";3506607
"Boa Esperança do Sul";"2018";"309484,03";"21497,92";"0,014";3506706
"Bocaina";"2018";"217465,7";"18292,88";"0,009838";3506805
"Bofete";"2018";"187116,06";"17341,62";"0,008465";3506904
"Boituva";"2018";"2381517,15";"42809,94";"0,107734";3507001
"Bom Jesus dos Perdões";"2018";"908427,96";"38823,37";"0,041095";3507100
"Bom Sucesso de Itararé";"2018";"62659,77";"16502,44";"0,002835";3507159
