"Localidades";"Períodos";"Valor Adicionado Total (Em mil reais correntes)";"Valor Adicionado da Administração Pública (Em mil reais correntes)";"Valor Adicionado na Indústria (Em mil reais correntes)";"Valor Adicionado dos Serviços (Em mil reais correntes)";"Valor Adicionado da Agropecuária (Em mil reais correntes)";"Impostos sobre Produtos Líquidos de Subsídios (Em mil reais correntes)";"Participação da Administração Pública no Total do Valor Adicionado (Em %)";"Participação da Indústria no Total do Valor Adicionado (Em %)";"Participação dos Serviços no Total do Valor Adicionado (Em %)";"Participação da Agropecuária no Total do Valor Adicionado (Em %)";"Cód. IBGE"
"Adamantina";"2018";"1000750,54";"177739,36";"131611,08";"833629,58";"35509,88";"83654,59";"17,76";"13,15";"83,3";"3,55";3500105
"Adolfo";"2018";"89226,71";"22193,63";"11020,43";"55559,23";"22647,06";"3147,01";"24,87";"12,35";"62,27";"25,38";3500204
"Aguaí";"2018";"885529,27";"128003,31";"314194,79";"489398,31";"81936,18";"122658,04";"14,46";"35,48";"55,27";"9,25";3500303
"Águas da Prata";"2018";"153948,53";"32800,51";"19332,61";"124631,49";"9984,44";"14356,2";"21,31";"12,56";"80,96";"6,49";3500402
"Águas de Lindóia";"2018";"457343,09";"89095,68";"37780,14";"414693,01";"4869,93";"34178,98";"19,48";"8,26";"90,67";"1,06";3500501
"Águas de Santa Bárbara";"2018";"158593,69";"34090,68";"9779,95";"98376,42";"50437,32";"8236,8";"21,5";"6,17";"62,03";"31,8";3500550
"Águas de São Pedro";"2018";"128883,4";"21328,63";"10762,99";"118120,41";"-";"7063,24";"16,55";"8,35";"91,65";"-";3500600
"Agudos";"2018";"1879413,33";"177012,04";"927745,5";"875071,58";"76596,25";"323936,92";"9,42";"49,36";"46,56";"4,08";3500709
"Alambari";"2018";"95862,32";"25509,29";"7398,26";"57491,26";"30972,8";"4634,97";"26,61";"7,72";"59,97";"32,31";3500758
"Alfredo Marcondes";"2018";"68166,42";"20357,65";"13694,81";"49440,88";"5030,72";"15206,34";"29,86";"20,09";"72,53";"7,38";3500808
"Altair";"2018";"103107,02";"21698,4";"5355,67";"47813,94";"49937,41";"3725,78";"21,04";"5,19";"46,37";"48,43";3500907
"Altinópolis";"2018";"469637,97";"67167,67";"18674,24";"302883,6";"148080,13";"28085,23";"14,3";"3,98";"64,49";"31,53";3501004
"Alto Alegre";"2018";"101304,95";"22687,53";"10185,54";"58205,38";"32914,02";"6407,03";"22,4";"10,05";"57,46";"32,49";3501103
"Alumínio";"2018";"1551372,69";"88405,83";"1019461,96";"531009,57";"901,16";"553731,82";"5,7";"65,71";"34,23";"0,06";3501152
"Álvares Florence";"2018";"116943,94";"20769,9";"4835,66";"49349,86";"62758,41";"2752,09";"17,76";"4,14";"42,2";"53,67";3501202
"Álvares Machado";"2018";"471272,72";"98416,03";"100750,87";"354428,83";"16093,02";"59445,1";"20,88";"21,38";"75,21";"3,41";3501301
"Álvaro de Carvalho";"2018";"48129,78";"20870,82";"2613,6";"39187,69";"6328,49";"1756,7";"43,36";"5,43";"81,42";"13,15";3501400
"Alvinlândia";"2018";"51032,19";"16447,14";"3757,48";"32751,66";"14523,05";"874,15";"32,23";"7,36";"64,18";"28,46";3501509
"Americana";"2018";"9727524,67";"985881,23";"2835212,56";"6883478,89";"8833,22";"1604883,5";"10,13";"29,15";"70,76";"0,09";3501608
"Américo Brasiliense";"2018";"870454,8";"150139,88";"303903,25";"549785,98";"16765,57";"88980,69";"17,25";"34,91";"63,16";"1,93";3501707
"Américo de Campos";"2018";"114487,03";"27249,92";"4507,13";"68054,43";"41925,47";"3245,43";"23,8";"3,94";"59,44";"36,62";3501806
"Amparo";"2018";"3923030,47";"301016,63";"1931615,25";"1915077,64";"76337,59";"723479,41";"7,67";"49,24";"48,82";"1,95";3501905
"Analândia";"2018";"178206,45";"31431,65";"59867,43";"85600,95";"32738,07";"5787,18";"17,64";"33,59";"48,03";"18,37";3502002
"Andradina";"2018";"1773957,01";"238114,69";"406638,41";"1267325,78";"99992,82";"148529,32";"13,42";"22,92";"71,44";"5,64";3502101
"Angatuba";"2018";"932093,87";"105383,52";"304750,04";"487587,16";"139756,67";"76318,07";"11,31";"32,7";"52,31";"14,99";3502200
"Anhembi";"2018";"172820,74";"32282,18";"25047,04";"74058,88";"73714,81";"7065,44";"18,68";"14,49";"42,85";"42,65";3502309
"Anhumas";"2018";"72388,77";"20043,17";"5774,18";"41443,65";"25170,95";"2436,42";"27,69";"7,98";"57,25";"34,77";3502408
"Aparecida";"2018";"1030619,04";"146185,86";"43173,63";"985933,28";"1512,14";"52154,34";"14,18";"4,19";"95,66";"0,15";3502507
"Aparecida d'Oeste";"2018";"120945,48";"20609,98";"34433,3";"60435,54";"26076,64";"7623,98";"17,04";"28,47";"49,97";"21,56";3502606
"Apiaí";"2018";"552490,51";"94382,74";"138625,02";"305533,6";"108331,88";"42196,97";"17,08";"25,09";"55,3";"19,61";3502705
"Aramina";"2018";"118032,93";"23065,01";"5008,04";"85335,99";"27688,9";"8575,29";"19,54";"4,24";"72,3";"23,46";3503000
"Arandu";"2018";"113595,78";"29488,66";"6090,4";"68102,01";"39403,37";"3983,66";"25,96";"5,36";"59,95";"34,69";3503109
"Arapeí";"2018";"29688,87";"14357,05";"1626,04";"26312,2";"1750,63";"1014,94";"48,36";"5,48";"88,63";"5,9";3503158
"Araraquara";"2018";"8379360,41";"1003150,61";"1691653,08";"6594744,31";"92963,01";"1029754,02";"11,97";"20,19";"78,7";"1,11";3503208
"Araras";"2018";"4933860,1";"553299,85";"1365752,95";"3465698,76";"102408,39";"631278,12";"11,21";"27,68";"70,24";"2,08";3503307
"Araçariguama";"2018";"2691372,55";"116825,75";"901461,39";"1788732,9";"1178,26";"579486,45";"4,34";"33,49";"66,46";"0,04";3502754
"Araçatuba";"2018";"6723668,31";"681472,54";"1148211,33";"5466418,14";"109038,85";"625753,03";"10,14";"17,08";"81,3";"1,62";3502804
