"Localidades";"Períodos";"Consumo de Energia Elétrica - Total (Em MWh)";"Consumo de Energia Elétrica - Industrial (Em MWh)";"Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh)";"Consumo de Energia Elétrica - Rural (Em MWh)";"Consumo de Energia Elétrica - Residencial (Em MWh)";"Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh)";"Cód. IBGE"
"Adamantina";"2019";"79010";"8958";"19475";"3070";"35115";"12393";3500105
"Adolfo";"2019";"14265";"72";"1077";"6913";"4553";"1650";3500204
"Aguaí";"2019";"89156";"35605";"8384";"13589";"22067";"9510";3500303
"Águas da Prata";"2019";"14101";"2276";"2232";"1633";"5808";"2151";3500402
"Águas de Lindóia";"2019";"47548";"4114";"16636";"1487";"18203";"7108";3500501
"Águas de Santa Bárbara";"2019";"17618";"706";"3142";"5476";"5918";"2376";3500550
"Águas de São Pedro";"2019";"15743";"7";"7032";"1";"5925";"2778";3500600
"Agudos";"2019";"310796";"253265";"9462";"4452";"30599";"13017";3500709
"Alambari";"2019";"9996";"855";"1219";"2250";"4265";"1406";3500758
"Alfredo Marcondes";"2019";"8436";"1253";"816";"1687";"3608";"1073";3500808
"Altair";"2019";"10195";"3";"558";"6693";"2213";"728";3500907
"Altinópolis";"2019";"34741";"286";"5016";"8672";"13227";"7541";3501004
"Alto Alegre";"2019";"46752";"55";"1465";"41131";"2995";"1105";3501103
"Alumínio";"2019";"3732654";"3711523";"5588";"20";"11495";"4028";3501152
"Álvares Florence";"2019";"10426";"562";"731";"5561";"2488";"1084";3501202
"Álvares Machado";"2019";"43706";"3727";"8477";"4265";"22273";"4963";3501301
"Álvaro de Carvalho";"2019";"5537";"210";"369";"979";"1947";"2033";3501400
"Alvinlândia";"2019";"4386";"59";"350";"1060";"1902";"1016";3501509
"Americana";"2019";"1054679";"591481";"145680";"271";"253948";"63298";3501608
"Américo Brasiliense";"2019";"56910";"6719";"12184";"437";"25770";"11801";3501707
"Américo de Campos";"2019";"10465";"104";"1302";"2317";"4836";"1906";3501806
"Amparo";"2019";"407220";"281566";"24900";"23077";"60441";"17235";3501905
"Analândia";"2019";"10490";"2378";"821";"1545";"4119";"1626";3502002
"Andradina";"2019";"207381";"95649";"31783";"7669";"57218";"15062";3502101
"Angatuba";"2019";"160577";"89094";"29872";"23436";"13552";"4623";3502200
"Anhembi";"2019";"12187";"1782";"1235";"2865";"4436";"1868";3502309
"Anhumas";"2019";"5762";"98";"564";"1270";"2873";"957";3502408
"Aparecida";"2019";"93690";"3880";"48196";"667";"31795";"9151";3502507
"Aparecida d'Oeste";"2019";"9864";"2436";"825";"2067";"3382";"1154";3502606
"Apiaí";"2019";"158642";"135858";"4533";"1575";"12566";"4109";3502705
"Aramina";"2019";"9737";"219";"1269";"853";"5149";"2246";3503000
"Arandu";"2019";"9860";"57";"798";"3109";"3944";"1951";3503109
"Arapeí";"2019";"2728";"20";"413";"440";"1472";"382";3503158
"Araraquara";"2019";"735966";"236777";"147612";"6245";"244095";"101237";3503208
"Araras";"2019";"486813";"242758";"81260";"15596";"111533";"35667";3503307
"Araçariguama";"2019";"424081";"385311";"15776";"195";"17865";"4935";3502754
"Araçatuba";"2019";"557294";"102396";"132088";"9301";"253965";"59544";3502804
"Araçoiaba da Serra";"2019";"74530";"5598";"9756";"5518";"44281";"9378";3502903
"Arco-Íris";"2019";"3571";"549";"167";"1395";"939";"521";3503356
"Arealva";"2019";"22593";"3596";"1819";"6822";"8127";"2229";3503406
"Areias";"2019";"4749";"2";"491";"1518";"2087";"651";3503505
"Areiópolis";"2019";"11211";"466";"1587";"328";"6806";"2024";3503604
"Ariranha";"2019";"20377";"7537";"1539";"1231";"7746";"2323";3503703
"Artur Nogueira";"2019";"98068";"25247";"17079";"6286";"36708";"12749";3503802
"Arujá";"2019";"263877";"125244";"48224";"2257";"76336";"11816";3503901
"Aspásia";"2019";"4171";"12";"288";"2154";"1233";"485";3503950
"Assis";"2019";"193334";"10839";"55322";"5365";"90875";"30933";3504008
"Atibaia";"2019";"509656";"194521";"106316";"25997";"151404";"31417";3504107
"Auriflama";"2019";"24961";"1394";"5393";"2751";"12140";"3283";3504206
"Avaí";"2019";"8255";"312";"1138";"2513";"3328";"964";3504305
"Avanhandava";"2019";"14960";"1178";"1683";"938";"8328";"2833";3504404
"Avaré";"2019";"170019";"20027";"36251";"9742";"71387";"32612";3504503
"Bady Bassitt";"2019";"38571";"2860";"5520";"2886";"21245";"6059";3504602
"Balbinos";"2019";"4216";"733";"187";"250";"1148";"1898";3504701
"Bálsamo";"2019";"23394";"7534";"2410";"1788";"8865";"2797";3504800
"Bananal";"2019";"17469";"4245";"2403";"2032";"6897";"1892";3504909
"Barão de Antonina";"2019";"4097";"18";"544";"692";"2118";"725";3505005
"Barbosa";"2019";"10324";"1171";"1338";"1061";"5183";"1570";3505104
"Bariri";"2019";"83447";"17414";"12462";"13272";"30846";"9453";3505203
"Barra Bonita";"2019";"88646";"21181";"14965";"660";"34067";"17772";3505302
"Barra do Chapéu";"2019";"3883";"20";"460";"613";"2202";"589";3505351
"Barra do Turvo";"2019";"6653";"56";"1299";"805";"3702";"792";3505401
"Barretos";"2019";"374754";"85166";"91137";"29797";"125822";"42831";3505500
"Barrinha";"2019";"41429";"1095";"5586";"677";"26030";"8041";3505609
"Barueri";"2019";"1370477";"238411";"761192";"-";"303300";"67574";3505708
"Bastos";"2019";"71217";"9497";"7726";"31374";"16088";"6531";3505807
"Batatais";"2019";"134360";"30553";"21182";"6918";"52826";"22880";3505906
"Bauru";"2019";"945039";"152658";"273637";"10478";"386912";"121355";3506003
"Bebedouro";"2019";"232469";"66693";"44341";"20018";"78021";"23396";3506102
"Bento de Abreu";"2019";"4983";"877";"443";"423";"2349";"892";3506201
"Bernardino de Campos";"2019";"31398";"9631";"2145";"8397";"7507";"3719";3506300
"Bertioga";"2019";"215052";"2599";"73197";"40";"114904";"24312";3506359
"Bilac";"2019";"15897";"2058";"3147";"1316";"7337";"2040";3506409
"Birigui";"2019";"278678";"50698";"52682";"10146";"135133";"30019";3506508
"Biritiba Mirim";"2019";"52180";"1566";"5142";"7160";"20944";"17368";3506607
"Boa Esperança do Sul";"2019";"41218";"3779";"3108";"19486";"10791";"4055";3506706
"Bocaina";"2019";"25782";"7674";"2419";"1379";"10640";"3669";3506805
"Bofete";"2019";"25456";"7106";"1864";"6586";"8439";"1462";3506904
"Boituva";"2019";"307215";"187255";"19441";"24683";"62595";"13240";3507001
"Bom Jesus dos Perdões";"2019";"98134";"67156";"5839";"1396";"19322";"4422";3507100
"Bom Sucesso de Itararé";"2019";"7492";"4474";"459";"399";"1631";"529";3507159
"Borá";"2019";"1508";"17";"217";"209";"583";"482";3507209
"Boracéia";"2019";"14471";"5530";"2309";"1418";"3901";"1313";3507308
"Borborema";"2019";"37101";"5519";"11494";"3692";"12663";"3733";3507407
"Borebi";"2019";"6072";"1268";"677";"1235";"1778";"1114";3507456
"Botucatu";"2019";"503712";"243133";"54869";"13765";"132808";"59137";3507506
"Bragança Paulista";"2019";"566950";"259790";"87197";"18520";"162779";"38664";3507605
"Braúna";"2019";"7671";"213";"835";"773";"4543";"1307";3507704
"Brejo Alegre";"2019";"4515";"174";"314";"1061";"2202";"764";3507753
"Brodowski";"2019";"47084";"4014";"5820";"3420";"24591";"9238";3507803
"Brotas";"2019";"64934";"17514";"8619";"12129";"21446";"5226";3507902
"Buri";"2019";"38923";"3305";"6490";"13675";"10502";"4951";3508009
"Buritama";"2019";"38409";"5122";"6810";"4237";"17591";"4649";3508108
"Buritizal";"2019";"8506";"1335";"828";"1494";"3097";"1751";3508207
"Cabrália Paulista";"2019";"7303";"829";"697";"1818";"2922";"1036";3508306
"Cabreúva";"2019";"268191";"187504";"27941";"8779";"35530";"8437";3508405
"Cachoeira Paulista";"2019";"57036";"3385";"12033";"2016";"25184";"14417";3508603
"Caconde";"2019";"22455";"353";"2940";"5853";"10227";"3082";3508702
"Cafelândia";"2019";"33728";"4869";"5140";"4064";"15205";"4450";3508801
"Caiabu";"2019";"5299";"34";"626";"997";"2702";"940";3508900
"Caieiras";"2019";"447891";"325671";"38832";"172";"72678";"10539";3509007
"Caiuá";"2019";"7720";"32";"734";"2849";"2342";"1764";3509106
