Localidades;Períodos;Frota de Veículos  Total ;Número de Habitantes por Total de Veículos ;Frota de Automóveis ;Número de Habitantes por Automóvel ;Frota de Ônibus ;Frota de Caminhões ;Frota de Reboques ;Frota de Motocicletas e Assemelhados ;Frota de Microônibus e Camionetas ;Frota de Veículos de Outro Tipo ;Cód. IBGE
Adamantina;2020;28403;1.19;15575;2.18;91;1067;1377;6726;3559;8;3500105
Adolfo;2020;2617;1.32;1514;2.28;28;99;229;437;308;2;3500204
Aguaí;2020;22952;1.55;12004;2.97;224;1225;620;6214;2658;7;3500303
Águas da Prata;2020;4984;1.56;2969;2.63;13;151;86;1002;761;2;3500402
Águas de Lindóia;2020;13982;1.31;8013;2.29;106;227;134;3800;1700;2;3500501
Águas de Santa Bárbara;2020;4462;1.33;2675;2.22;34;195;237;655;664;2;3500550
Águas de São Pedro;2020;2744;1.14;1798;1.74;6;44;100;362;428;6;3500600
Agudos;2020;23385;1.55;13756;2.63;115;883;692;5234;2691;14;3500709
Alambari;2020;2674;2.16;1372;4.21;9;121;61;761;347;3;3500758
Alfredo Marcondes;2020;2578;1.52;1552;2.53;10;87;83;449;397;;3500808
Altair;2020;1731;2.33;1142;3.53;36;84;77;182;209;1;3500907
Altinópolis;2020;10497;1.48;6637;2.34;130;586;435;973;1732;4;3501004
Alto Alegre;2020;2600;1.55;1343;2.99;45;158;180;483;391;;3501103
Alumínio;2020;9253;1.94;6414;2.8;65;353;132;1309;968;12;3501152
Álvares Florence;2020;2069;1.75;1188;3.05;20;75;106;384;296;;3501202
Álvares Machado;2020;16389;1.45;8929;2.66;34;612;441;4350;2020;3;3501301
Álvaro de Carvalho;2020;1493;3.38;995;5.07;26;41;24;233;174;;3501400
Alvinlândia;2020;1583;2.01;1011;3.14;16;59;48;233;216;;3501509
Americana;2020;187605;1.24;117482;1.99;578;4363;3964;34978;26169;71;3501608
Américo Brasiliense;2020;26483;1.52;14735;2.73;224;1221;1465;6259;2496;83;3501707
Américo de Campos;2020;3935;1.46;2341;2.45;37;169;162;703;523;;3501806
Amparo;2020;56882;1.22;31006;2.25;166;1749;781;16063;7104;13;3501905
Analândia;2020;2782;1.74;1701;2.85;19;168;137;375;380;2;3502002
Andradina;2020;47399;1.18;23665;2.37;176;1592;1936;14990;5024;16;3502101
Angatuba;2020;14120;1.74;7838;3.13;129;620;465;3269;1797;2;3502200
Anhembi;2020;2576;2.59;1635;4.08;33;125;88;277;417;1;3502309
Anhumas;2020;2090;1.9;1189;3.33;10;92;61;395;343;;3502408
Aparecida;2020;22667;1.58;12894;2.77;547;791;330;4819;3274;12;3502507
Aparecida d'Oeste;2020;3375;1.22;1974;2.09;33;124;169;642;433;;3502606
Apiaí;2020;12261;2.01;6369;3.87;103;550;274;3444;1514;7;3502705
Aramina;2020;3238;1.7;2170;2.53;30;144;170;261;462;1;3503000
Arandu;2020;2871;2.15;1736;3.55;33;80;73;552;396;1;3503109
Arapeí;2020;1184;2.09;720;3.43;11;49;21;227;156;;3503158
Araraquara;2020;188529;1.21;109216;2.08;1227;5522;5878;45524;21099;63;3503208
Araras;2020;106034;1.24;57955;2.26;403;3139;2168;30789;11513;67;3503307
Araçariguama;2020;11455;1.83;6707;3.13;63;689;359;2106;1506;25;3502754
