"Localidades";"Períodos";"Leitos de Internação ";"Leitos de Internação (Coeficiente por mil habitantes)";"Leitos SUS ";"Leitos SUS (Coeficiente por mil habitantes)";"Cód. IBGE"
"Adamantina";"2019";"235";"6,93";"206";"6,08";3500105
"Adolfo";"2019";"-";"-";"-";"-";3500204
"Aguaí";"2019";"-";"-";"-";"-";3500303
"Águas da Prata";"2019";"-";"-";"-";"-";3500402
"Águas de Lindóia";"2019";"42";"2,3";"30";"1,64";3500501
"Águas de Santa Bárbara";"2019";"-";"-";"-";"-";3500550
"Águas de São Pedro";"2019";"-";"-";"-";"-";3500600
"Agudos";"2019";"60";"1,67";"38";"1,06";3500709
"Alambari";"2019";"-";"-";"-";"-";3500758
"Alfredo Marcondes";"2019";"-";"-";"-";"-";3500808
"Altair";"2019";"-";"-";"-";"-";3500907
"Altinópolis";"2019";"31";"1,99";"25";"1,61";3501004
"Alto Alegre";"2019";"22";"5,46";"19";"4,72";3501103
"Alumínio";"2019";"-";"-";"-";"-";3501152
"Álvares Florence";"2019";"-";"-";"-";"-";3501202
"Álvares Machado";"2019";"20";"0,84";"18";"0,76";3501301
"Álvaro de Carvalho";"2019";"-";"-";"-";"-";3501400
"Alvinlândia";"2019";"-";"-";"-";"-";3501509
"Americana";"2019";"517";"2,23";"207";"0,89";3501608
"Américo Brasiliense";"2019";"177";"4,46";"177";"4,46";3501707
"Américo de Campos";"2019";"-";"-";"-";"-";3501806
"Amparo";"2019";"392";"5,66";"215";"3,1";3501905
"Analândia";"2019";"-";"-";"-";"-";3502002
"Andradina";"2019";"127";"2,27";"91";"1,63";3502101
"Angatuba";"2019";"57";"2,35";"54";"2,23";3502200
"Anhembi";"2019";"-";"-";"-";"-";3502309
"Anhumas";"2019";"-";"-";"-";"-";3502408
"Aparecida";"2019";"104";"2,92";"70";"1,96";3502507
"Aparecida d'Oeste";"2019";"22";"5,29";"20";"4,81";3502606
"Apiaí";"2019";"45";"1,82";"39";"1,58";3502705
"Aramina";"2019";"-";"-";"-";"-";3503000
"Arandu";"2019";"12";"1,95";"12";"1,95";3503109
"Arapeí";"2019";"-";"-";"-";"-";3503158
