Localidades;Períodos;Auxiliares de Enfermagem Registrados no COREN/SP ;Auxiliares de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes);Dentistas Registrados no CRO/SP ;Dentistas Registrados no CRO/SP (Coeficiente por dois mil habitantes);Enfermeiros Registrados no COREN/SP ;Enfermeiros Registrados no COREN/SP (Coeficiente por mil habitantes);Fonoaudiólogos registrados no CRFa/SP ;Fonoaudiólogos registrados no CRFa/SP (Coeficiente por mil habitantes);Médicos Registrados no CRM/SP ;Médicos Registrados no CRM/SP (Coeficiente por mil habitantes);Psicólogos Registrados no CRP  6ª Região [Série interrompida] ;Psicólogos Registrados no CRP  6ª Região (Coeficiente por mil habitantes) [Série interrompida] (Coeficiente por mil habitantes);Técnicos de Enfermagem Registrados no COREN/SP ;Técnicos de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes);Técnicos de Prótese Dentária Registrados no CRO/SP ;Técnicos de Prótese Dentária Registrados no CRO/SP (Coeficiente por dois mil habitantes);Cód. IBGE
Adamantina;2019;168;4.96;112;6.61;160;4.72;6;0.18;94;2.77;;;62;1.83;8;0.47;3500105
Adolfo;2019;12;3.47;6;3.47;7;2.02;3;0.87;;;;;28;8.1;;;3500204
Aguaí;2019;40;1.13;34;1.93;44;1.25;3;0.09;31;0.88;;;129;3.66;2;0.11;3500303
Águas da Prata;2019;25;3.21;3;0.77;10;1.29;1;0.13;7;0.9;;;29;3.73;1;0.26;3500402
Águas de Lindóia;2019;14;0.77;38;4.16;28;1.53;6;0.33;34;1.86;;;65;3.56;1;0.11;3500501
Águas de Santa Bárbara;2019;16;2.71;6;2.03;14;2.37;2;0.34;;;;;17;2.88;1;0.34;3500550
Águas de São Pedro;2019;5;1.62;9;5.84;7;2.27;;;15;4.87;;;20;6.49;;;3500600
Agudos;2019;115;3.2;33;1.83;71;1.97;10;0.28;40;1.11;;;190;5.28;1;0.06;3500709
Alambari;2019;22;3.87;2;0.7;10;1.76;;;1;0.18;;;40;7.03;;;3500758
Alfredo Marcondes;2019;28;7.14;5;2.55;7;1.78;;;3;0.76;;;21;5.35;;;3500808
Altair;2019;6;1.49;3;1.49;7;1.74;;;;;;;30;7.47;;;3500907
Altinópolis;2019;39;2.51;30;3.86;42;2.7;3;0.19;20;1.29;;;91;5.85;1;0.13;3501004
Alto Alegre;2019;7;1.74;4;1.99;14;3.48;;;2;0.5;;;18;4.47;;;3501103
Alumínio;2019;58;3.25;11;1.23;27;1.51;3;0.17;2;0.11;;;100;5.6;;;3501152
Álvares Florence;2019;3;0.82;6;3.29;5;1.37;;;2;0.55;;;14;3.84;;;3501202
Álvares Machado;2019;145;6.11;35;2.95;68;2.86;4;0.17;42;1.77;;;80;3.37;1;0.08;3501301
Álvaro de Carvalho;2019;10;2;1;0.4;3;0.6;1;0.2;1;0.2;;;17;3.4;;;3501400
Alvinlândia;2019;19;6.01;;;6;1.9;;;;;;;25;7.91;;;3501509
Americana;2019;478;2.07;589;5.09;439;1.9;81;0.35;656;2.84;;;1083;4.68;48;0.41;3501608
Américo Brasiliense;2019;67;1.69;18;0.91;54;1.36;4;0.1;12;0.3;;;357;9;;;3501707
Américo de Campos;2019;7;1.22;11;3.84;13;2.27;2;0.35;2;0.35;;;17;2.96;;;3501806
Amparo;2019;78;1.13;155;4.47;153;2.21;22;0.32;155;2.24;;;425;6.13;17;0.49;3501905
Analândia;2019;5;1.04;1;0.42;9;1.88;1;0.21;2;0.42;;;16;3.33;;;3502002
Andradina;2019;304;5.43;110;3.93;131;2.34;9;0.16;165;2.95;;;180;3.21;7;0.25;3502101
Angatuba;2019;62;2.55;17;1.4;25;1.03;3;0.12;14;0.58;;;78;3.21;;;3502200
Anhembi;2019;3;0.46;;;24;3.65;;;;;;;20;3.05;;;3502309
Anhumas;2019;24;6.09;;;5;1.27;2;0.51;2;0.51;;;10;2.54;;;3502408
Aparecida;2019;37;1.04;65;3.65;73;2.05;6;0.17;32;0.9;;;220;6.17;3;0.17;3502507
Aparecida d'Oeste;2019;4;0.96;5;2.4;16;3.84;1;0.24;7;1.68;;;31;7.45;;;3502606
Apiaí;2019;64;2.59;20;1.62;32;1.3;1;0.04;20;0.81;;;76;3.08;2;0.16;3502705
Aramina;2019;2;0.37;11;4.03;7;1.28;2;0.37;3;0.55;;;23;4.21;;;3503000
Arandu;2019;25;4.06;1;0.32;5;0.81;;;2;0.32;;;4;0.65;1;0.32;3503109
