"Localidades";"Períodos";"Empregos Formais ";"Empregos Formais de Homens ";"Empregos Formais de Mulheres ";"Cód. IBGE"
"Adamantina";"2018";"10445";"5422";"5023";3500105
"Adolfo";"2018";"854";"472";"382";3500204
"Aguaí";"2018";"6984";"4372";"2612";3500303
"Águas da Prata";"2018";"983";"550";"433";3500402
"Águas de Lindóia";"2018";"4605";"2522";"2083";3500501
"Águas de Santa Bárbara";"2018";"1525";"965";"560";3500550
"Águas de São Pedro";"2018";"1316";"633";"683";3500600
"Agudos";"2018";"8522";"4987";"3535";3500709
"Alambari";"2018";"973";"516";"457";3500758
"Alfredo Marcondes";"2018";"911";"556";"355";3500808
"Altair";"2018";"712";"525";"187";3500907
"Altinópolis";"2018";"3792";"2465";"1327";3501004
"Alto Alegre";"2018";"493";"284";"209";3501103
"Alumínio";"2018";"6331";"5091";"1240";3501152
"Álvares Florence";"2018";"480";"238";"242";3501202
"Álvares Machado";"2018";"3284";"1988";"1296";3501301
"Álvaro de Carvalho";"2018";"428";"238";"190";3501400
"Alvinlândia";"2018";"378";"235";"143";3501509
"Americana";"2018";"71551";"39091";"32460";3501608
"Américo Brasiliense";"2018";"9642";"6576";"3066";3501707
"Américo de Campos";"2018";"556";"255";"301";3501806
"Amparo";"2018";"23831";"13300";"10531";3501905
"Analândia";"2018";"990";"644";"346";3502002
"Andradina";"2018";"15555";"8971";"6584";3502101
"Angatuba";"2018";"5062";"3214";"1848";3502200
"Anhembi";"2018";"872";"587";"285";3502309
"Anhumas";"2018";"478";"210";"268";3502408
"Aparecida";"2018";"11600";"5955";"5645";3502507
"Aparecida d'Oeste";"2018";"711";"437";"274";3502606
"Apiaí";"2018";"4373";"2635";"1738";3502705
"Aramina";"2018";"716";"326";"390";3503000
"Arandu";"2018";"1365";"926";"439";3503109
"Arapeí";"2018";"376";"227";"149";3503158
"Araraquara";"2018";"73882";"37979";"35903";3503208
"Araras";"2018";"37686";"22528";"15158";3503307
"Araçariguama";"2018";"10032";"6886";"3146";3502754
"Araçatuba";"2018";"52412";"29315";"23097";3502804
"Araçoiaba da Serra";"2018";"5311";"2980";"2331";3502903
"Arco-Íris";"2018";"338";"203";"135";3503356
"Arealva";"2018";"1508";"878";"630";3503406
"Areias";"2018";"542";"369";"173";3503505
"Areiópolis";"2018";"1209";"662";"547";3503604
"Ariranha";"2018";"3761";"3002";"759";3503703
"Artur Nogueira";"2018";"9481";"4696";"4785";3503802
"Arujá";"2018";"23014";"14291";"8723";3503901
"Aspásia";"2018";"224";"109";"115";3503950
"Assis";"2018";"21567";"11727";"9840";3504008
"Atibaia";"2018";"39243";"20920";"18323";3504107
"Auriflama";"2018";"2717";"1219";"1498";3504206
"Avaí";"2018";"1175";"696";"479";3504305
"Avanhandava";"2018";"1787";"1204";"583";3504404
"Avaré";"2018";"21934";"11658";"10276";3504503
"Bady Bassitt";"2018";"2717";"1627";"1090";3504602
"Balbinos";"2018";"385";"179";"206";3504701
"Bálsamo";"2018";"1331";"955";"376";3504800
"Bananal";"2018";"1716";"1187";"529";3504909
"Barão de Antonina";"2018";"607";"300";"307";3505005
"Barbosa";"2018";"709";"355";"354";3505104
"Bariri";"2018";"8602";"5264";"3338";3505203
"Barra Bonita";"2018";"11436";"7599";"3837";3505302
"Barra do Chapéu";"2018";"711";"475";"236";3505351
"Barra do Turvo";"2018";"631";"316";"315";3505401
"Barretos";"2018";"32003";"17280";"14723";3505500
"Barrinha";"2018";"3864";"2356";"1508";3505609
"Barueri";"2018";"251637";"130693";"120944";3505708
"Bastos";"2018";"7530";"4309";"3221";3505807
"Batatais";"2018";"15266";"9204";"6062";3505906
"Bauru";"2018";"124826";"70960";"53866";3506003
"Bebedouro";"2018";"26817";"16784";"10033";3506102
"Bento de Abreu";"2018";"883";"666";"217";3506201
"Bernardino de Campos";"2018";"2077";"1188";"889";3506300
"Bertioga";"2018";"13070";"8094";"4976";3506359
"Bilac";"2018";"1454";"921";"533";3506409
"Birigui";"2018";"31978";"16224";"15754";3506508
"Biritiba Mirim";"2018";"3779";"2093";"1686";3506607
"Boa Esperança do Sul";"2018";"3231";"2014";"1217";3506706
"Bocaina";"2018";"3398";"2310";"1088";3506805
"Bofete";"2018";"2018";"1373";"645";3506904
"Boituva";"2018";"22922";"14548";"8374";3507001
"Bom Jesus dos Perdões";"2018";"5405";"3394";"2011";3507100
"Bom Sucesso de Itararé";"2018";"617";"429";"188";3507159
"Borá";"2018";"1066";"857";"209";3507209
"Boracéia";"2018";"1370";"921";"449";3507308
"Borborema";"2018";"2738";"1492";"1246";3507407
"Borebi";"2018";"631";"363";"268";3507456
"Botucatu";"2018";"40744";"23584";"17160";3507506
"Bragança Paulista";"2018";"44650";"23735";"20915";3507605
"Braúna";"2018";"509";"294";"215";3507704
"Brejo Alegre";"2018";"671";"491";"180";3507753
"Brodowski";"2018";"4814";"2535";"2279";3507803
"Brotas";"2018";"7006";"4401";"2605";3507902
"Buri";"2018";"4782";"3209";"1573";3508009
"Buritama";"2018";"4492";"3010";"1482";3508108
"Buritizal";"2018";"1700";"1391";"309";3508207
"Cabrália Paulista";"2018";"791";"518";"273";3508306
"Cabreúva";"2018";"14126";"8789";"5337";3508405
"Cachoeira Paulista";"2018";"5279";"2734";"2545";3508603
"Caconde";"2018";"2021";"1139";"882";3508702
"Cafelândia";"2018";"3948";"2415";"1533";3508801
"Caiabu";"2018";"385";"162";"223";3508900
"Caieiras";"2018";"19541";"12625";"6916";3509007
"Caiuá";"2018";"563";"324";"239";3509106
"Cajamar";"2018";"39085";"23839";"15246";3509205
"Cajati";"2018";"6370";"4504";"1866";3509254
"Cajobi";"2018";"1399";"764";"635";3509304
"Cajuru";"2018";"4887";"2765";"2122";3509403
"Campina do Monte Alegre";"2018";"792";"415";"377";3509452
"Campinas";"2018";"406651";"212890";"193761";3509502
"Campo Limpo Paulista";"2018";"12789";"7945";"4844";3509601
"Campos do Jordão";"2018";"12859";"6638";"6221";3509700
"Campos Novos Paulista";"2018";"707";"451";"256";3509809
"Cananéia";"2018";"1550";"855";"695";3509908
"Canas";"2018";"959";"670";"289";3509957
"Cândido Mota";"2018";"5701";"3690";"2011";3510005
"Cândido Rodrigues";"2018";"699";"371";"328";3510104
"Canitar";"2018";"722";"474";"248";3510153
"Capão Bonito";"2018";"8046";"4790";"3256";3510203
"Capela do Alto";"2018";"3825";"2454";"1371";3510302
"Capivari";"2018";"15285";"8465";"6820";3510401
"Caraguatatuba";"2018";"23853";"11831";"12022";3510500
"Carapicuíba";"2018";"34525";"20318";"14207";3510609
"Cardoso";"2018";"1378";"745";"633";3510708
"Casa Branca";"2018";"6693";"3989";"2704";3510807
"Cássia dos Coqueiros";"2018";"494";"257";"237";3510906
"Castilho";"2018";"2898";"1776";"1122";3511003
"Catanduva";"2018";"36095";"20101";"15994";3511102
"Catiguá";"2018";"699";"354";"345";3511201
"Caçapava";"2018";"21823";"13697";"8126";3508504
"Cedral";"2018";"4610";"2134";"2476";3511300
"Cerqueira César";"2018";"4324";"2612";"1712";3511409
"Cerquilho";"2018";"12360";"7232";"5128";3511508
"Cesário Lange";"2018";"3509";"2132";"1377";3511607
"Charqueada";"2018";"2503";"1500";"1003";3511706
"Chavantes";"2018";"1686";"975";"711";3557204
"Clementina";"2018";"3267";"2796";"471";3511904
"Colina";"2018";"5129";"3304";"1825";3512001
"Colômbia";"2018";"4138";"3041";"1097";3512100
"Conchal";"2018";"5510";"3011";"2499";3512209
"Conchas";"2018";"3360";"1876";"1484";3512308
"Cordeirópolis";"2018";"9592";"6298";"3294";3512407
"Coroados";"2018";"967";"643";"324";3512506
"Coronel Macedo";"2018";"775";"519";"256";3512605
"Corumbataí";"2018";"1120";"785";"335";3512704
"Cosmópolis";"2018";"9400";"5246";"4154";3512803
"Cosmorama";"2018";"2179";"1677";"502";3512902
"Cotia";"2018";"73455";"40497";"32958";3513009
"Cravinhos";"2018";"9034";"5592";"3442";3513108
"Cristais Paulista";"2018";"1662";"1124";"538";3513207
"Cruzália";"2018";"382";"209";"173";3513306
"Cruzeiro";"2018";"16441";"10701";"5740";3513405
"Cubatão";"2018";"29204";"19945";"9259";3513504
"Cunha";"2018";"2277";"1383";"894";3513603
"Descalvado";"2018";"9699";"6386";"3313";3513702
"Diadema";"2018";"88341";"54353";"33988";3513801
"Dirce Reis";"2018";"313";"223";"90";3513850
"Divinolândia";"2018";"2206";"1017";"1189";3513900
"Dobrada";"2018";"740";"417";"323";3514007
