"Localidades";"Períodos";"Rendimento Médio do Total de Empregos Formais (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Indústria (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Construção (Em reais correntes)";"Rendimento Médio dos Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas (Em reais correntes)";"Rendimento Médio dos Empregos Formais dos Serviços (Em reais correntes)";"Cód. IBGE"
"Adamantina";"2018";"2184,14";"2569,04";"2105,42";"2017,58";"1990,88";"2303,23";3500105
"Adolfo";"2018";"1966,98";"1841,13";"2889,24";"1118,69";"1692,61";"2056,99";3500204
"Aguaí";"2018";"2463,05";"1892,57";"3091,45";"1676,18";"1785,43";"2644,7";3500303
"Águas da Prata";"2018";"2108,86";"1726,11";"2613,46";"1607,99";"1609,34";"2321,53";3500402
"Águas de Lindóia";"2018";"2091,51";"1285,26";"1955,44";"1542,61";"1730,17";"2256,87";3500501
"Águas de Santa Bárbara";"2018";"1997,29";"1634,24";"2054,46";"1678,05";"1575,06";"2737,5";3500550
"Águas de São Pedro";"2018";"2166,4";"1390,44";"2565,26";"1550,47";"1815,15";"2275,41";3500600
"Agudos";"2018";"2434,36";"2421,87";"3563,29";"1806,69";"1770,77";"2078,51";3500709
"Alambari";"2018";"1842,63";"1552,58";"1654,03";"1596,84";"1537,76";"2251,92";3500758
"Alfredo Marcondes";"2018";"2258,23";"1717,64";"1811,38";"3483,74";"2132,05";"2872,38";3500808
"Altair";"2018";"2525,44";"2567,7";"4425,58";"-";"1658,85";"2640,52";3500907
"Altinópolis";"2018";"1962,17";"1795,65";"2155,03";"1349,13";"1760,35";"2277,5";3501004
"Alto Alegre";"2018";"2208,09";"1604,97";"2457";"2001,31";"1718,43";"2559,1";3501103
"Alumínio";"2018";"4069,31";"1566,67";"4720,53";"2076,43";"1821,03";"2998,83";3501152
"Álvares Florence";"2018";"2006,93";"1771,33";"1908,16";"-";"1625,55";"2136,83";3501202
"Álvares Machado";"2018";"2440,18";"1431,67";"3439,14";"2170,2";"1767,8";"2295";3501301
"Álvaro de Carvalho";"2018";"2230,05";"1627,91";"2716,09";"3415,6";"1757,84";"2452";3501400
"Alvinlândia";"2018";"2070,94";"1771,48";"2107,2";"1549,38";"1562,34";"2302,27";3501509
"Americana";"2018";"2873,93";"2089,51";"3311,54";"2879,09";"2295,37";"2843,06";3501608
"Américo Brasiliense";"2018";"2663,38";"1468,03";"2923,3";"2212,36";"1757,17";"2823,95";3501707
"Américo de Campos";"2018";"2053,55";"1710,28";"1625,79";"2458,61";"1686,08";"2238,67";3501806
"Amparo";"2018";"2624,95";"1905,05";"3072,44";"1991,95";"1996,18";"2480,61";3501905
"Analândia";"2018";"2314,88";"1790,01";"3148,19";"1227,55";"1804,05";"2441,19";3502002
"Andradina";"2018";"2271,01";"2095,21";"2610,29";"1543,9";"1839,57";"2352,3";3502101
"Angatuba";"2018";"2414,56";"2069,56";"3511,39";"2381,99";"1624,33";"2645,88";3502200
"Anhembi";"2018";"2038,43";"1638,2";"2479";"-";"1640,59";"2345,7";3502309
"Anhumas";"2018";"2019,89";"1540,99";"2248,75";"1427";"1577,03";"2227,92";3502408
"Aparecida";"2018";"2001,77";"1366,91";"1997,89";"1816,32";"1642,39";"2135,79";3502507
"Aparecida d'Oeste";"2018";"1901,23";"1427,06";"1820,48";"1551";"1529,39";"2220,61";3502606
"Apiaí";"2018";"1909,05";"1280,07";"3135,46";"1638,53";"1573,24";"2115,34";3502705
"Aramina";"2018";"1965,82";"2005,8";"1741,45";"1528,88";"1607,22";"2128,01";3503000
"Arandu";"2018";"1760,2";"1718,89";"1251";"1416,92";"1716,96";"1841,4";3503109
"Arapeí";"2018";"1659,16";"1278,68";"3231,37";"-";"1414,41";"1736,36";3503158
"Araraquara";"2018";"2707,7";"1896,65";"3261,58";"2394,5";"2058,85";"2824,51";3503208
"Araras";"2018";"2818,79";"2413,46";"3393,67";"2562,77";"2040,44";"2776,67";3503307
"Araçariguama";"2018";"2906,71";"1713,48";"3820,28";"3015,58";"2184,5";"2195,42";3502754
"Araçatuba";"2018";"2536,9";"2193,52";"2647,35";"2420,67";"2150,41";"2734,06";3502804
"Araçoiaba da Serra";"2018";"2236,62";"1565,56";"2666,63";"2451,63";"1807,6";"2265,39";3502903
"Arco-Íris";"2018";"1985,78";"1558,53";"1746,76";"1556,98";"1524,62";"2199,06";3503356
"Arealva";"2018";"1796,96";"1693,11";"1486,62";"2030,06";"1676,63";"2078,37";3503406
"Areias";"2018";"1511,79";"1300,72";"934,2";"-";"1437,53";"1695,05";3503505
"Areiópolis";"2018";"2175,51";"2342,13";"2342,48";"1803,58";"1690,64";"2276,35";3503604
"Ariranha";"2018";"3257,08";"3525,69";"3737,09";"1547,46";"1665,28";"2107,01";3503703
"Artur Nogueira";"2018";"2438,87";"1837,43";"2864,17";"2108,75";"1912,25";"2628,35";3503802
"Arujá";"2018";"2895,72";"1636,99";"3371,47";"2729,83";"2277,86";"2804,72";3503901
"Aspásia";"2018";"2106,3";"1458,99";"6055,29";"-";"1679,06";"2192,89";3503950
"Assis";"2018";"2495,13";"1781,83";"2760,07";"2274,36";"2106,92";"2788,13";3504008
"Atibaia";"2018";"2702,25";"1321,36";"3511,46";"2244,15";"2174,14";"2655,78";3504107
"Auriflama";"2018";"1933,77";"1555,17";"1590,41";"1496,31";"1602,16";"2693,32";3504206
"Avaí";"2018";"1862,25";"1653,47";"2294,9";"-";"1684,1";"2034,59";3504305
"Avanhandava";"2018";"2416,61";"1483,88";"2722,87";"1587,93";"1596,12";"2534,35";3504404
"Avaré";"2018";"2143,38";"1744,72";"2259,42";"2505,09";"1914,23";"2333,82";3504503
"Bady Bassitt";"2018";"2375,6";"2115,81";"2032,8";"2303,41";"1974,67";"2765,27";3504602
"Balbinos";"2018";"1905,27";"1900,43";"1771,03";"-";"1420,2";"1967,41";3504701
"Bálsamo";"2018";"2460,5";"1744,13";"2791,51";"1764,14";"1731,59";"2803,66";3504800
"Bananal";"2018";"1980,55";"1391,35";"2625,32";"2379,44";"1629,21";"2012,67";3504909
"Barão de Antonina";"2018";"1718,97";"1587,63";"1193,97";"2897,67";"1402,21";"2342,14";3505005
"Barbosa";"2018";"1902,09";"1644,17";"1609,66";"1875,65";"1524,51";"2134,7";3505104
"Bariri";"2018";"2192,33";"1788,72";"2366,78";"1828,49";"1845,04";"2320,36";3505203
"Barra Bonita";"2018";"2504,59";"2182,44";"2797,83";"1789,65";"1800,77";"2569,81";3505302
"Barra do Chapéu";"2018";"1479,04";"1275,31";"3800,7";"2128,21";"1382,56";"1718,55";3505351
"Barra do Turvo";"2018";"2001,39";"1394,96";"2867,41";"981,42";"1752,83";"2130,91";3505401
"Barretos";"2018";"2628,82";"2191,76";"3105,05";"3095,06";"1957,72";"2771,43";3505500
"Barrinha";"2018";"2155,03";"2392,34";"2485,91";"2311,17";"1965,16";"2156,08";3505609
"Barueri";"2018";"4139,48";"2803,11";"4091,69";"2755,25";"4750,14";"4081,63";3505708
"Bastos";"2018";"1937,04";"1772,23";"2287,42";"2180,06";"1700,72";"2078,59";3505807
"Batatais";"2018";"2701,87";"1884,48";"3408,77";"2484,1";"1845,53";"2678,58";3505906
"Bauru";"2018";"2756,89";"1806,27";"3017,49";"2922,02";"2118,5";"2952,76";3506003
"Bebedouro";"2018";"2284,63";"1501,48";"2643,23";"2478,57";"2381,64";"2695,94";3506102
"Bento de Abreu";"2018";"3020,18";"2261,03";"3259,55";"-";"1453,86";"2834,18";3506201
"Bernardino de Campos";"2018";"2057,9";"2044,42";"1943,5";"1739,73";"1830,12";"2281,77";3506300
"Bertioga";"2018";"3122,25";"1966,25";"2904,09";"2241,29";"2007,34";"3620,55";3506359
"Bilac";"2018";"2194,52";"2088,07";"1999,05";"1930,29";"1871,64";"2591,2";3506409
"Birigui";"2018";"2199,59";"2347,01";"2020,37";"1921,54";"1887,41";"2700,58";3506508
"Biritiba Mirim";"2018";"2031,41";"1628,63";"3818,02";"1621,1";"1664,28";"2291,16";3506607
"Boa Esperança do Sul";"2018";"2001,95";"2187,98";"1650,11";"1505,56";"1782,97";"1867,56";3506706
"Bocaina";"2018";"2472,25";"2075,82";"2649,6";"1564,98";"1667,74";"2405,72";3506805
"Bofete";"2018";"2218,97";"2235,62";"2582,95";"2292,77";"1722,8";"2255,6";3506904
"Boituva";"2018";"2856,6";"2268,03";"2809,11";"2825,79";"2049,47";"3205,73";3507001
"Bom Jesus dos Perdões";"2018";"2382,79";"1449,68";"2399,28";"1395,37";"2016,28";"2606,23";3507100
"Bom Sucesso de Itararé";"2018";"1980,75";"1348,76";"2735,49";"2464,1";"1415,3";"2341,46";3507159
"Borá";"2018";"2919,64";"1953,14";"2978,68";"-";"1925,57";"2755,78";3507209
"Boracéia";"2018";"2436,62";"2482,16";"2097,69";"1577,85";"2314,99";"3127,4";3507308
"Borborema";"2018";"1892,11";"1705,98";"1692,58";"1446,53";"1768,21";"2141,93";3507407
"Borebi";"2018";"2050,36";"1655,15";"1890,76";"1476";"1795,11";"2720,46";3507456
"Botucatu";"2018";"3015,35";"1667,98";"3410,49";"1839,71";"1881,33";"3604,26";3507506
"Bragança Paulista";"2018";"2625,63";"2759,81";"2988,93";"1909,01";"2092,48";"2753,04";3507605
"Braúna";"2018";"2548,31";"1813,01";"1908,95";"1674,2";"1506,36";"3425,73";3507704
