Localidades;Períodos;Índice de Desenvolvimento Humano Municipal  IDHM ;Índice de Desenvolvimento Humano Municipal  IDHM  Ranking dos Municípios ;Índice de Desenvolvimento Humano Municipal  IDHM Longevidade ;Índice de Desenvolvimento Humano Municipal  IDHM Educação ;Índice de Desenvolvimento Humano Municipal  IDHM Renda ;Cód. IBGE
Adamantina;2010;0.79;35;0.852;0.75;0.772;3500105
Adolfo;2010;0.73;388;0.844;0.648;0.71;3500204
Aguaí;2010;0.715;502;0.858;0.606;0.703;3500303
Águas da Prata;2010;0.781;62;0.886;0.716;0.75;3500402
Águas de Lindóia;2010;0.745;265;0.846;0.675;0.725;3500501
Águas de Santa Bárbara;2010;0.757;182;0.84;0.695;0.744;3500550
Águas de São Pedro;2010;0.854;2;0.89;0.825;0.849;3500600
Agudos;2010;0.745;265;0.845;0.694;0.705;3500709
Alambari;2010;0.712;522;0.805;0.658;0.682;3500758
Alfredo Marcondes;2010;0.741;297;0.84;0.71;0.682;3500808
Altair;2010;0.687;612;0.8;0.581;0.698;3500907
Altinópolis;2010;0.73;388;0.843;0.635;0.726;3501004
Alto Alegre;2010;0.7;581;0.817;0.616;0.683;3501103
Alumínio;2010;0.766;131;0.841;0.732;0.729;3501152
Álvares Florence;2010;0.728;409;0.806;0.683;0.701;3501202
Álvares Machado;2010;0.758;177;0.834;0.732;0.712;3501301
Álvaro de Carvalho;2010;0.688;610;0.805;0.605;0.669;3501400
Alvinlândia;2010;0.722;452;0.791;0.659;0.721;3501509
Americana;2010;0.811;11;0.876;0.76;0.8;3501608
Américo Brasiliense;2010;0.751;219;0.852;0.701;0.709;3501707
Américo de Campos;2010;0.745;265;0.817;0.708;0.715;3501806
Amparo;2010;0.785;50;0.871;0.711;0.78;3501905
Analândia;2010;0.754;199;0.861;0.668;0.745;3502002
Andradina;2010;0.779;73;0.885;0.702;0.762;3502101
Angatuba;2010;0.719;476;0.827;0.648;0.693;3502200
Anhembi;2010;0.721;460;0.863;0.637;0.681;3502309
Anhumas;2010;0.741;297;0.845;0.706;0.683;3502408
Aparecida;2010;0.755;195;0.828;0.706;0.735;3502507
Aparecida d'Oeste;2010;0.721;460;0.804;0.67;0.697;3502606
Apiaí;2010;0.71;534;0.835;0.647;0.662;3502705
Aramina;2010;0.74;306;0.856;0.656;0.723;3503000
Arandu;2010;0.685;616;0.806;0.592;0.675;3503109
Arapeí;2010;0.68;621;0.812;0.612;0.634;3503158
Araraquara;2010;0.815;7;0.877;0.782;0.788;3503208
Araras;2010;0.781;62;0.859;0.728;0.763;3503307
Araçariguama;2010;0.704;560;0.814;0.597;0.717;3502754
Araçatuba;2010;0.788;40;0.841;0.744;0.782;3502804
Araçoiaba da Serra;2010;0.776;83;0.86;0.723;0.751;3502903
ArcoÍris;2010;0.722;452;0.809;0.694;0.671;3503356
Arealva;2010;0.744;274;0.84;0.683;0.718;3503406
Areias;2010;0.697;590;0.803;0.672;0.627;3503505
Areiópolis;2010;0.695;599;0.823;0.594;0.686;3503604
Ariranha;2010;0.733;362;0.813;0.663;0.73;3503703
Artur Nogueira;2010;0.749;236;0.827;0.681;0.745;3503802
Arujá;2010;0.784;55;0.866;0.73;0.761;3503901
Aspásia;2010;0.735;345;0.864;0.657;0.699;3503950
Assis;2010;0.805;14;0.865;0.781;0.771;3504008
Atibaia;2010;0.765;138;0.851;0.67;0.786;3504107
Auriflama;2010;0.773;96;0.84;0.738;0.746;3504206
Avaí;2010;0.714;509;0.83;0.65;0.674;3504305
Avanhandava;2010;0.705;554;0.817;0.623;0.688;3504404
Avaré;2010;0.767;127;0.866;0.695;0.751;3504503
Bady Bassitt;2010;0.746;260;0.805;0.701;0.737;3504602
Balbinos;2010;0.669;634;0.809;0.537;0.69;3504701
Bálsamo;2010;0.756;188;0.835;0.695;0.746;3504800
Bananal;2010;0.733;362;0.872;0.653;0.693;3504909
Barão de Antonina;2010;0.711;528;0.82;0.649;0.676;3505005
Barbosa;2010;0.699;584;0.843;0.599;0.676;3505104
Bariri;2010;0.75;232;0.867;0.662;0.736;3505203
Barra Bonita;2010;0.788;40;0.869;0.739;0.762;3505302
Barra do Chapéu;2010;0.66;639;0.779;0.599;0.617;3505351
Barra do Turvo;2010;0.641;644;0.792;0.532;0.625;3505401
Barretos;2010;0.789;38;0.875;0.738;0.762;3505500
Barrinha;2010;0.725;430;0.829;0.646;0.711;3505609
Barueri;2010;0.786;47;0.866;0.708;0.791;3505708
Bastos;2010;0.751;219;0.848;0.718;0.696;3505807
Batatais;2010;0.761;160;0.84;0.685;0.766;3505906
Bauru;2010;0.801;20;0.854;0.752;0.8;3506003
Bebedouro;2010;0.78;66;0.853;0.735;0.756;3506102
Bento de Abreu;2010;0.744;274;0.82;0.712;0.706;3506201
Bernardino de Campos;2010;0.734;356;0.838;0.662;0.713;3506300
Bertioga;2010;0.73;388;0.817;0.654;0.727;3506359
Bilac;2010;0.768;121;0.845;0.722;0.743;3506409
Birigui;2010;0.78;66;0.869;0.734;0.743;3506508
Biritiba Mirim;2010;0.712;522;0.795;0.64;0.71;3506607
Boa Esperança do Sul;2010;0.681;619;0.811;0.562;0.692;3506706
Bocaina;2010;0.742;290;0.84;0.656;0.741;3506805
Bofete;2010;0.705;554;0.821;0.609;0.7;3506904
Boituva;2010;0.78;66;0.861;0.728;0.757;3507001
Bom Jesus dos Perdões;2010;0.713;515;0.802;0.631;0.716;3507100
Bom Sucesso de Itararé;2010;0.66;639;0.775;0.613;0.605;3507159
Borá;2010;0.746;260;0.863;0.675;0.712;3507209
Boracéia;2010;0.754;199;0.866;0.685;0.723;3507308
Borborema;2010;0.73;388;0.831;0.658;0.71;3507407
Borebi;2010;0.705;554;0.846;0.615;0.674;3507456
Botucatu;2010;0.8;22;0.869;0.746;0.79;3507506
Bragança Paulista;2010;0.776;83;0.861;0.704;0.772;3507605
Braúna;2010;0.737;330;0.83;0.664;0.725;3507704
Brejo Alegre;2010;0.71;534;0.826;0.618;0.702;3507753
Brodowski;2010;0.755;195;0.864;0.675;0.738;3507803
Brotas;2010;0.74;306;0.815;0.688;0.724;3507902
Buri;2010;0.667;636;0.799;0.578;0.642;3508009
