CodIBGE;Localidade;Populacao;Pop60mais%;DensDem;RazaoSexos;GrauUrb;TxMortalidade;PIBPerCapita;VlAdTPop;VlAdAPPop;VlAdIndPop;VlAdSrvPop;VlAdAgrPop;ImpostosPop;ConsEElTPop;ConsEEIndPop;ConsEECSPop;ConsEERurPop;ConsEEResPop;ConsEEIlPubPop;FrotaVeículosPop;AutomóveisPop;LeitosMilHab;LeitosSUSMilHab;AuxEnfMilHab;EnfMilHab;MedMilHab;TecEnfMilHab;EmpFormPop;RazaoEmpSexo;RendMedEmpregos;IDH-M;IDH-Long;IDH-Educ;IDH-Renda;RendaPCapita;DomMeioSMPC%;DomQuarSMPC%;Agua%;Lixo%;Esgoto%;CasosCovid;ObitosCovid;IncidCovid%;LetalidCovid%;MortalidCovid%
3500105;Adamantina;33869;21,84298326;0,822689871;92,89;96,5;10,18;31999,68;29,5476849;5,247847884;3,885886209;24,61335085;1,048447843;2,469945673;2,332811716;0,264489651;0,575009596;0,090643361;1,036788804;0,365909829;0,838613481;0,459860049;6,93;6,08;4,96;4,72;2,77;1,83;0,308394107;1,079434601;2184,14;0,79;0,852;0,75;0,772;778,44;12,78;3,03;99,76;99,89;99,03;2796;85;8,249247654;3,040057225;0,250781849
3500204;Adolfo;3436;22,14784633;0,163318488;97,81;92,67;8,39;26628,34;25,96819267;6,459147264;3,207342841;16,16974098;6,591111758;0,915893481;4,151629802;0,020954598;0,313445867;2,01193248;1,325087311;0,480209546;0,761641444;0,440628638;0;0;3,47;2,02;0;8,1;0,24854482;1,235602094;1966,98;0,73;0,844;0,648;0,71;588,02;16,08;5,33;96,76;99,72;95,93;449;11;13,02581955;2,449888641;0,319118074
3500303;Aguaí;35885;14,61613488;0,750352966;100,88;92,38;7,66;28872,17;24,67686415;3,567042218;8,755602341;13,63796322;2,283298871;3,418086666;2,484492128;0,992197297;0,233635224;0,378681901;0,614936603;0,265013237;0,639598718;0,334513028;0;0;1,13;1,25;0,88;3,66;0,194621708;1,67381317;2463,05;0,715;0,858;0,606;0,703;540,88;24,41;6,87;99,29;99,66;98,87;2544;80;7,144461919;3,144654088;0,224668614
3500402;Águas da Prata;7807;22,14679134;0,546505923;96,5;92,42;9,26;21694,34;19,71929422;4,201423082;2,476317407;15,96406942;1,278908672;1,838888177;1,806199564;0,291533239;0,285897272;0,209171257;0,743947739;0,275521967;0,638401435;0,380299731;0;0;3,21;1,29;0,9;3,73;0,125912643;1,270207852;2108,86;0,781;0,886;0,716;0,75;726,28;18,04;4,09;95,84;99,38;87,99;497;21;6,374246505;4,225352113;0,269334359
3500501;Águas de Lindóia;18438;17,76223018;3,055712623;94,78;99,1;9,52;27061,72;24,80437629;4,832177026;2,049036772;22,49121434;0,264124634;1,853724916;2,578804643;0,223126153;0,902267057;0,08064866;0,987254583;0,38550819;0,758325198;0,434591604;2,3;1,64;0,77;1,53;1,86;3,56;0,249755939;1,210753721;2091,51;0,745;0,846;0,675;0,725;680,22;15,97;5,31;93,54;98,74;90,33;1568;35;8,533797758;2,232142857;0,190486557
3500550;Águas de Santa Bárbara;5957;18,56639248;0,146639964;95,63;77,93;8,98;28445,1;26,62308041;5,722793352;1,641757596;16,51442337;8,466899446;1,382709417;2,957528958;0,118516032;0,527446701;0,919254658;0,99345308;0,398858486;0,749034749;0,449051536;0;0;2,71;2,37;0;2,88;0,256001343;1,723214286;1997,29;0,757;0,84;0,695;0,744;703,8;17,09;4,77;98,53;100;75,56;349;12;5,884336537;3,438395415;0,202326758
3500600;Águas de São Pedro;3144;24,30025445;8,648199446;88,83;100;15,25;44675,2;40,99344784;6,783915394;3,423342875;37,57010496;0;2,246577608;5,007315522;0,002226463;2,236641221;0,000318066;1,884541985;0,883587786;0,872773537;0,571882952;0;0;1,62;2,27;4,87;6,49;0,418575064;0,926793558;2166,4;0,854;0,89;0,825;0,849;1353,66;7,27;2,93;99,9;99,9;97,47;275;6;8,808456118;2,181818182;0,192184497
3500709;Agudos;36255;15,2365191;0,373783244;97,19;96,41;7,53;61498;51,8387348;4,882417322;25,58944973;24,13657647;2,112708592;8,934958488;8,572500345;6,985657151;0,260984692;0,122796856;0,843993932;0,359040132;0,645014481;0,379423528;1,67;1,06;3,2;1,97;1,11;5,28;0,235057233;1,410749646;2434,36;0,745;0,845;0,694;0,705;584,66;21,07;6,88;99,04;99,86;96,91;3240;74;8,966624232;2,283950617;0,204793269
3500758;Alambari;5856;14,17349727;3,620927318;99,52;82,41;7,38;17945,95;16,36993169;4,356094604;1,263364071;9,817496585;5,289071038;0,791490779;1,706967213;0,146004098;0,208162568;0,384221311;0,728312842;0,240095628;0,456625683;0,234289617;0;0;3,87;1,76;0,18;7,03;0,166154372;1,129102845;1842,63;0,712;0,805;0,658;0,682;510,33;24,15;7,22;96,12;99,82;70,55;493;10;8,530887697;2,028397566;0,173040318
3500808;Alfredo Marcondes;3924;23,11416922;0,330221998;103,84;91;8,66;21252,3;17,37166667;5,1879842;3,490012742;12,59961264;1,282038736;3,875214067;2,149847095;0,319317023;0,20795107;0,429918451;0,919469929;0,273445464;0,656982671;0,395514781;0;0;7,14;1,78;0,76;5,35;0,23216106;1,566197183;2258,23;0,741;0,84;0,71;0,682;574,27;19,16;4,59;98,76;99,12;97,35;219;10;5,576776165;4,566210046;0,254647313
3500907;Altair;4052;13,62290227;0,128941567;112,82;85,02;7,22;26748,32;25,44595755;5,354985192;1,321734946;11,80008391;12,3241387;0,919491609;2,516041461;0,000740375;0,137709773;1,6517769;0,546150049;0,179664363;0,427196446;0,28183613;0;0;1,49;1,74;0;7,47;0,175715696;2,807486631;2525,44;0,687;0,8;0,581;0,698;517,99;20,74;5,31;98,31;100;86,12;158;12;3,914767096;7,594936709;0,297324083
3501004;Altinópolis;15547;19,16768508;0,167423786;98,81;92,11;6,62;31993,52;30,20762655;4,320297807;1,201147488;19,48180356;9,5246755;1,806472631;2,234579018;0,018395832;0,322634592;0,5577925;0,850775069;0,485045346;0,675178491;0,42689908;1,99;1,61;2,51;2,7;1,29;5,85;0,243905577;1,857573474;1962,17;0,73;0,843;0,635;0,726;635,36;18;3,96;99,93;99,93;98,88;778;39;5,00225037;5,01285347;0,250755481
3501103;Alto Alegre;4006;24,06390414;0,126094736;104,28;85,45;9,93;26681,19;25,28830504;5,663387419;2,542571143;14,52955067;8,216180729;1,599358462;11,67049426;0,013729406;0,365701448;10,26734898;0,747628557;0,275836246;0,64902646;0,335247129;5,46;4,72;1,74;3,48;0,5;4,47;0,123065402;1,358851675;2208,09;0,7;0,817;0,616;0,683;517,16;20,75;5,45;99,36;99,64;96,17;317;15;7,89146129;4,731861199;0,373412995
3501152;Alumínio;18069;12,3415795;2,148218982;100,72;83,87;5,94;118617,49;85,85824838;4,892679728;56,42049698;29,38787813;0,049873264;30,64540484;206,5777852;205,4083236;0,309258952;0,001106868;0,63617245;0,222923239;0,512092534;0,354972605;0;0;3,25;1,51;0,11;5,6;0,350379102;4,105645161;4069,31;0,766;0,841;0,732;0,729;653,51;17,47;6,54;98,49;99,98;91,71;1303;39;7,250166926;2,993092863;0,217004229
