;nome_munic;codigo_ibge;dia;mes;datahora;casos;casos_novos;casos_pc;casos_mm7d;obitos;obitos_novos;obitos_pc;obitos_mm7d;letalidade;nome_ra;cod_ra;nome_drs;cod_drs;pop;pop_60;area;map_leg;map_leg_s;latitude;longitude;semana_epidem
275415;Adamantina;3500105;27;4;2021-04-27;2373;27;7,001239e+03;  12,0000000;64;1;1,888240e+02;  0,1428571;0,0269700801;RA de Presidente Prudente;9;Marília;5;33894;7398;41199;<5000;2.0;-21,6820;-51,0737;17
275416;Adolfo;3500204;27;4;2021-04-27;374;0;1,085001e+04;   2,4285714;9;0;2,610966e+02;  0,0000000;0,0240641711;RA de São José do Rio Preto;14;São José do Rio Preto;15;3447;761;21106;<600;4.0;-21,2325;-49,6451;17
275417;Aguaí;3500303;27;4;2021-04-27;1856;23;5,212312e+03;  11,0000000;52;0;1,460346e+02;  1,0000000;0,0280172414;RA de Campinas;4;São João da Boa Vista;14;35608;5245;47455;<5000;2.0;-22,0572;-46,9735;17
275418;Águas da Prata;3500402;27;4;2021-04-27;401;2;5,143004e+03;   1,0000000;19;0;2,436835e+02;  0,0000000;0,0473815461;RA de Campinas;4;São João da Boa Vista;14;7797;1729;14267;<600;4.0;-21,9319;-46,7176;17
275419;Águas de Lindóia;3500501;27;4;2021-04-27;1010;7;5,496898e+03;   4,8571429;25;0;1,360618e+02;  0,1428571;0,0247524752;RA de Campinas;4;Campinas;3;18374;3275;6013;<1200;3.0;-22,4733;-46,6314;17
275420;Águas de Santa Bárbara;3500550;27;4;2021-04-27;295;4;4,973866e+03;   0,7142857;12;0;2,023268e+02;  0,1428571;0,0406779661;RA de Sorocaba;13;Bauru;12;5931;1106;40446;<300;5.0;-22,8812;-49,2421;17
275421;Águas de São Pedro;3500600;27;4;2021-04-27;213;3;6,822550e+03;   0,8571429;5;0;1,601537e+02;  0,0000000;0,0234741784;RA de Campinas;4;Piracicaba;11;3122;764;361;<300;5.0;-22,5977;-47,8734;17
275422;Agudos;3500709;27;4;2021-04-27;2592;45;7,173299e+03;  35,7142857;57;0;1,577462e+02;  0,7142857;0,0219907407;RA de Bauru;3;Bauru;12;36134;5524;96671;<5000;2.0;-22,4694;-48,9863;17
275423;Alambari;3500758;27;4;2021-04-27;424;0;7,336909e+03;   2,5714286;9;0;1,557363e+02;  0,0000000;0,0212264151;RA de Sorocaba;13;Sorocaba;6;5779;830;1596;<600;4.0;-23,5503;-47,8980;17
275424;Alfredo Marcondes;3500808;27;4;2021-04-27;205;1;5,220270e+03;   0,7142857;8;0;2,037179e+02;  0,0000000;0,0390243902;RA de Presidente Prudente;9;Presidente Prudente;2;3927;907;11892;<300;5.0;-21,9527;-51,4140;17
275425;Altair;3500907;27;4;2021-04-27;132;0;3,270565e+03;   0,2857143;9;0;2,229931e+02;  0,0000000;0,0681818182;RA de Barretos;2;Barretos;16;4036;552;31301;<150;6.0;-20,5242;-49,0571;17
275426;Altinópolis;3501004;27;4;2021-04-27;680;1;4,372147e+03;   1,0000000;22;1;1,414518e+02;  0,1428571;0,0323529412;RA de Ribeirão Preto;11;Ribeirão Preto;1;15553;2980;92896;<1200;3.0;-21,0214;-47,3712;17
275427;Alto Alegre;3501103;27;4;2021-04-27;219;0;5,451830e+03;   1,4285714;10;0;2,489420e+02;  0,1428571;0,0456621005;RA de Araçatuba;1;Araçatuba;7;4017;964;31857;<300;5.0;-21,5811;-50,1680;17
275428;Alumínio;3501152;27;4;2021-04-27;1108;5;6,165146e+03;   4,5714286;35;0;1,947474e+02;  0,1428571;0,0315884477;RA de Sorocaba;13;Sorocaba;6;17972;2230;8366;<1200;3.0;-23,5306;-47,2546;17
275429;Álvares Florence;3501202;27;4;2021-04-27;326;1;9,003038e+03;   2,1428571;11;0;3,037835e+02;  0,0000000;0,0337423313;RA de São José do Rio Preto;14;São José do Rio Preto;15;3621;991;36241;<600;4.0;-20,3203;-49,9141;17
275430;Álvares Machado;3501301;27;4;2021-04-27;1310;5;5,506747e+03;   6,2857143;42;3;1,765522e+02;  0,5714286;0,0320610687;RA de Presidente Prudente;9;Presidente Prudente;2;23789;4267;34765;<5000;2.0;-22,0764;-51,4722;17
275431;Álvaro de Carvalho;3501400;27;4;2021-04-27;136;0;2,696273e+03;   0,1428571;7;0;1,387787e+02;  0,0000000;0,0514705882;RA de Marília;8;Marília;5;5044;583;15366;<150;6.0;-22,0841;-49,7190;17
275432;Alvinlândia;3501509;27;4;2021-04-27;110;0;3,463476e+03;   0,1428571;6;0;1,889169e+02;  0,2857143;0,0545454545;RA de Marília;8;Marília;5;3176;505;8488;<150;6.0;-22,4435;-49,7623;17
275433;Americana;3501608;27;4;2021-04-27;15392;98;6,593049e+03;  75,8571429;477;8;2,043194e+02;  6,0000000;0,0309901247;RA de Campinas;4;Campinas;3;233458;40276;13391;>5000;1.0;-22,7374;-47,3331;17
275434;Américo Brasiliense;3501707;27;4;2021-04-27;3029;10;7,526775e+03;   8,1428571;70;0;1,739433e+02;  0,2857143;0,0231099373;RA Central;5;Araraquara;8;40243;4465;12279;<5000;2.0;-21,7288;-48,1147;17
275435;Américo de Campos;3501806;27;4;2021-04-27;618;2;1,077406e+04;   2,1428571;19;0;3,312413e+02;  0,0000000;0,0307443366;RA de São José do Rio Preto;14;São José do Rio Preto;15;5736;1267;25288;<1200;3.0;-20,2985;-49,7359;17
275436;Amparo;3501905;27;4;2021-04-27;4052;44;5,818579e+03;  26,7142857;107;0;1,536495e+02;  0,0000000;0,0264067127;RA de Campinas;4;Campinas;3;69639;12727;44532;<5000;2.0;-22,7088;-46,7720;17
275437;Analândia;3502002;27;4;2021-04-27;250;5;5,154639e+03;   1,0000000;3;0;6,185567e+01;  0,0000000;0,0120000000;RA de Campinas;4;Piracicaba;11;4850;813;32595;<300;5.0;-22,1289;-47,6619;17
275438;Andradina;3502101;27;4;2021-04-27;4450;26;7,938773e+03;  15,2857143;188;6;3,353909e+02;  1,5714286;0,0422471910;RA de Araçatuba;1;Araçatuba;7;56054;10776;96423;<5000;2.0;-20,8948;-51,3786;17
275439;Angatuba;3502200;27;4;2021-04-27;2125;6;8,673115e+03;   9,0000000;53;0;2,163177e+02;  0,1428571;0,0249411765;RA de Itapeva;7;Sorocaba;6;24501;3775;102729;<5000;2.0;-23,4917;-48,4139;17
275440;Anhembi;3502309;27;4;2021-04-27;128;1;1,918465e+03;   1,2857143;3;1;4,496403e+01;  0,1428571;0,0234375000;RA de Sorocaba;13;Bauru;12;6672;975;73656;<150;6.0;-22,7930;-48,1336;17
275441;Anhumas;3502408;27;4;2021-04-27;181;0;4,567247e+03;   0,2857143;4;0;1,009336e+02;  0,0000000;0,0220994475;RA de Presidente Prudente;9;Presidente Prudente;2;3963;680;32084;<300;5.0;-22,2934;-51,3895;17
275442;Aparecida;3502507;27;4;2021-04-27;2037;2;5,704444e+03;   5,4285714;66;0;1,848274e+02;  0,2857143;0,0324005891;RA de São José dos Campos;15;Taubaté;17;35709;6043;12108;<5000;2.0;-22,8495;-45,2325;17
275443;Aparecida d'Oeste;3502606;27;4;2021-04-27;576;0;1,393998e+04;   2,0000000;11;0;2,662149e+02;  0,0000000;0,0190972222;RA de São José do Rio Preto;14;São José do Rio Preto;15;4132;997;179;<600;4.0;-20,4487;-50,8835;17
275444;Apiaí;3502705;27;4;2021-04-27;931;4;3,774426e+03;   2,7142857;40;0;1,621665e+02;  0,1428571;0,0429645542;RA de Itapeva;7;Sorocaba;6;24666;3685;97432;<1200;3.0;-24,5108;-48,8443;17
275445;Araçariguama;3502754;27;4;2021-04-27;1143;20;5,448046e+03;   6,4285714;35;0;1,668255e+02;  0,2857143;0,0306211724;RA de Sorocaba;13;Sorocaba;6;20980;2193;1452;<1200;3.0;-23,4366;-47,0608;17
275446;Araçatuba;3502804;27;4;2021-04-27;21063;78;1,105849e+04;  43,2857143;597;9;3,134368e+02;  4,1428571;0,0283435408;RA de Araçatuba;1;Araçatuba;7;190469;35257;116713;>5000;1.0;-21,2076;-50,4401;17
275447;Araçoiaba da Serra;3502903;27;4;2021-04-27;1965;2;6,066687e+03;   5,4285714;41;0;1,265823e+02;  0,1428571;0,0208651399;RA de Sorocaba;13;Sorocaba;6;32390;5103;25533;<5000;2.0;-23,5029;-47,6166;17
275448;Aramina;3503000;27;4;2021-04-27;235;0;4,275837e+03;   0,2857143;9;0;1,637555e+02;  0,1428571;0,0382978723;RA de Franca;6;Franca;4;5496;980;20283;<300;5.0;-20,0882;-47,7873;17
